,P_P1_WOM_U,P_P1_MARKETING_U,P_P1_EXPERIENCE_U,P_P1_SHARE,P_P2_WOM_U,P_P2_MARKETING_U,P_P2_EXPERIENCE_U,P_P2_SHARE,V_P1_WOM_U,V_P1_MARKETING_U,V_P1_EXPERIENCE_U,V_P1_SHARE,V_P2_WOM_U,V_P2_MARKETING_U,V_P2_EXPERIENCE_U,V_P2_SHARE
10,0.01003175647775716,0.044308402337267135,0.011441739955456238,0.0385,0.010030312329966607,0.04540410627389645,0.011710259884024955,0.0385,0.010025876571357586,0.04574574630850676,0.011058818351782273,0.02,0.010027763402600712,0.04469664939482767,0.010705324757042193,0.065
11,0.010040537139352197,0.04958403312180877,0.011588034078073437,0.0395,0.010040261950279772,0.050698269340569084,0.012049487410609547,0.0455,0.010033487869974213,0.05157454077906395,0.011228783816387707,0.03,0.010037368276553597,0.04939407200907438,0.01078687305290334,0.06
12,0.010050596464032419,0.05519710555288988,0.011757386184586016,0.039,0.010051279946289685,0.05594818612038635,0.012155392213042938,0.0405,0.010044451014064246,0.05740333524962115,0.01141624257565937,0.03,0.01004673269078516,0.05607029288452659,0.010996442168258765,0.015
13,0.010062258960608864,0.0611205984944122,0.012120071539259427,0.046,0.010062229577487614,0.061945298957993576,0.012425720723915033,0.049,0.010053880080477385,0.06390152488120154,0.01149111765961216,0.05,0.010055480648994702,0.0609136281019664,0.011268307850410015,0.04
14,0.010074173040873284,0.0673774376986131,0.012511432692253917,0.0345,0.010076865530245163,0.06810082526009868,0.012698729826187834,0.037,0.010064903669062639,0.07146947798399708,0.011397846689288272,0.055,0.010065651333535583,0.0666926335359937,0.011700111634959109,0.03
15,0.010087748678516846,0.07414661321528546,0.013023184358776087,0.0425,0.010092893867472261,0.07514945937368665,0.012865770687120465,0.0395,0.010077384876190079,0.07942740856752695,0.011455401763930657,0.055,0.010077119619894095,0.07437007317450474,0.012143432858808619,0.03
16,0.010103824061700059,0.08126513838808243,0.013559802163179294,0.0425,0.010106590262109751,0.08247137103637656,0.012989396185255065,0.04,0.010089739070715031,0.08739782614322424,0.01142748202850043,0.06,0.010095829210261269,0.08255858784474833,0.012278847038139085,0.03
17,0.010124194892105648,0.08922700468470915,0.01414349390296393,0.0345,0.010126111803715305,0.0897583656788126,0.013326698310927655,0.0405,0.010103553592603252,0.0949800917560536,0.011063322587323659,0.075,0.010107536514151942,0.09114418039439146,0.012836150476173978,0.03
18,0.010145157775411901,0.09652239296563475,0.014603490603710077,0.0415,0.010146285176988469,0.09738423303326303,0.013742424065463235,0.0515,0.010117513998205591,0.10373815877139031,0.01099136648897365,0.065,0.01012568580216683,0.09743310222737778,0.012976100803490114,0.055
19,0.010168113560772168,0.10441979774987462,0.01522443677206594,0.042,0.01016742177860176,0.10585989866570683,0.014121772048863071,0.0465,0.010139456368719489,0.11195668390855762,0.011018631102189497,0.045,0.01014592089855814,0.1056047966777705,0.01323118269709304,0.045
20,0.010193277146762136,0.11251520765898725,0.015424111285145968,0.044,0.01018924694943355,0.11426963004598317,0.014885319800745382,0.048,0.01016388380290871,0.12113479528113977,0.011166427329412209,0.04,0.010165948485904977,0.11398470556093822,0.013034784998747197,0.06
21,0.010222504017591491,0.1214426795534961,0.015633639939511446,0.0365,0.010217895753813688,0.12332615601550953,0.015429625023025797,0.0455,0.010185339401853748,0.13061664782925306,0.011349745124431569,0.04,0.010185232800066136,0.12314225289853697,0.013037165316196515,0.055
22,0.010254550664416377,0.13064824999723162,0.01629050053041215,0.039,0.010248423830929375,0.1327978330719722,0.015695465292055625,0.049,0.010211809601172303,0.1383932660047619,0.011345541031053586,0.06,0.010214467210417334,0.1328482739328101,0.013321647791220375,0.035
23,0.010282226045030343,0.13963194449067745,0.016722787384947844,0.051,0.010276636680715046,0.14174353345637694,0.016215036570160206,0.0415,0.010234951547929217,0.14747612978756572,0.011875181453624513,0.035,0.010242213525981083,0.14260763327530235,0.013263809107114544,0.06
24,0.010312984237563917,0.14954752456864717,0.01731837538615224,0.0425,0.010316906349384739,0.1508852907054097,0.016906646941076867,0.0435,0.010264590852459376,0.15509222578385148,0.012216313211140464,0.04,0.010267781568516267,0.15275063986601853,0.01331457463321293,0.055
25,0.010353865854297156,0.15949084953288567,0.018192500622394733,0.042,0.010354024707157525,0.1606894754105298,0.017548986233207123,0.038,0.01029793534888531,0.16467174551911487,0.011897054803892738,0.07,0.010305720038413577,0.16359765932187845,0.013347496650813109,0.06
26,0.01039214576223064,0.16939739404217613,0.01879703668349407,0.0435,0.010396906591462446,0.17123929569965446,0.01840150464544528,0.0565,0.010328484768030378,0.17204945539364253,0.012488035962415787,0.03,0.010341608415111692,0.17418955879180728,0.01392486030692011,0.04
27,0.01043792086209565,0.17999417176800037,0.019746546006463504,0.0505,0.010441184089299383,0.18178913399976476,0.019017836209200605,0.043,0.010383340282975266,0.18032073066149693,0.012859381957570803,0.055,0.010371213790842344,0.18452576205683133,0.013875658734947938,0.05
28,0.010487381374887396,0.19114226163707948,0.02068627001805868,0.0525,0.010489995933121705,0.1925899581557715,0.01961697784679237,0.045,0.010425783681950932,0.1918422381705561,0.013459627193713464,0.045,0.010409945520580048,0.19475238216556054,0.014114100369565633,0.04
29,0.010542690763816656,0.20208258779251198,0.020795494762472017,0.0525,0.010532460389914441,0.2037852404523286,0.02032993098370484,0.051,0.010475012128846025,0.20271044243352704,0.013881019870721769,0.03,0.010450757457996252,0.2065926322049824,0.014538399919121647,0.03
30,0.010598796005193317,0.21239881805877117,0.02189754137836041,0.0525,0.010578617323879337,0.21452094871304964,0.021924112595433486,0.0495,0.010501364100252241,0.21230617966276064,0.014198198780687425,0.055,0.010492685764799765,0.21898040640009708,0.014567555537874331,0.065
31,0.010657081402841339,0.22335645590688835,0.02293697172205328,0.0475,0.010632768070564921,0.22542276045074797,0.022527866343905797,0.0545,0.01055915079603413,0.22065761579751825,0.014241618416173461,0.055,0.010545667243693166,0.22937483436351475,0.016887812108854327,0.035
32,0.010724029448376726,0.23469762286293328,0.023605013591665537,0.048,0.010695128432060294,0.23689777268308945,0.02351455042267553,0.056,0.010600941822571007,0.23289793102455114,0.014902830901017213,0.035,0.010593371842953846,0.24009572959620648,0.017318583146272076,0.05
33,0.010788756108050876,0.2457547353958805,0.023254015516079245,0.055,0.010751318905010982,0.2480226609573768,0.024639273816686437,0.0575,0.010641779126656481,0.24263681726411757,0.015811165414529708,0.025,0.010651907350260807,0.25069788504991436,0.017676155829578953,0.06
34,0.010854350517043372,0.2566137870142656,0.024356279765536167,0.0525,0.010830686786585804,0.2587641776749091,0.025888406593280774,0.054,0.010693727095336857,0.2538970065143121,0.016010000811237463,0.055,0.010724502174936652,0.26317128026953124,0.017016358054785664,0.065
35,0.010922005759097946,0.2686126203126238,0.02513855923651053,0.0455,0.01091041196577067,0.2700652561118699,0.027472788757975465,0.0545,0.010759136287497605,0.2660724229254571,0.016828285481255235,0.035,0.010780595375044517,0.27379264619063337,0.016996067335217163,0.065
36,0.011000549254466918,0.2796852318445184,0.02651770889314395,0.0555,0.011000078552049057,0.28136020187754496,0.028401705503578855,0.067,0.010845354080621074,0.27668966755358926,0.016967553176371945,0.065,0.010839257298888093,0.2854151346980742,0.018844937851192033,0.045
37,0.011085475079081556,0.2914569765922886,0.027999450534103458,0.054,0.011088971841052495,0.2927888515994627,0.029527068969822427,0.0595,0.010940146095647274,0.28860037044267556,0.017468320985273022,0.055,0.010897821642288332,0.296788793915404,0.019650031284556883,0.045
38,0.01116703830124147,0.3031924681073611,0.029393289973348308,0.045,0.011181601188645102,0.30419885014178993,0.03016725839772872,0.0535,0.011010010269517999,0.2988563306303246,0.01710724423279057,0.06,0.010987140305115755,0.30760230904696845,0.019862425632563588,0.045
39,0.01125711168790924,0.3146041450374336,0.03115499939113698,0.0575,0.011273200750371186,0.3156159696287342,0.030958531619862843,0.0645,0.011076382705682133,0.30981643250691987,0.016165768638614172,0.085,0.0110514065830646,0.31691152611844686,0.021348826924619247,0.05
40,0.011346531699827496,0.3259926277005463,0.03332460792938041,0.052,0.011385861060971817,0.3272831709670374,0.03232725976326462,0.056,0.011163128225514025,0.32168020318493684,0.016089856431455517,0.07,0.011139252667889055,0.32734194716427856,0.021111991859034927,0.07
41,0.011467557975895914,0.33781073929590016,0.0335877227037068,0.057,0.011500430746774249,0.33909756531885654,0.03287521268057048,0.052,0.011235783449106678,0.33344629802942855,0.016869186526557327,0.03,0.011225450264662476,0.34071852669438135,0.02270267571743739,0.035
42,0.011553776453860383,0.3490977430389564,0.03484645685705619,0.055,0.011611772452316694,0.35047812283154495,0.034336278335966135,0.069,0.011299797228241983,0.34464216687274674,0.018275240160985806,0.035,0.011312994621398726,0.35162231650463677,0.02335227086905989,0.06
43,0.011652438641561175,0.3609095642765929,0.03584566896519799,0.0575,0.011712392779685608,0.36190058897882027,0.036089461578422036,0.065,0.011402799652007599,0.3571160821326414,0.01912618194007525,0.04,0.011403965102384193,0.36174627295120554,0.02367413032585932,0.065
44,0.011771353179927266,0.3724703251915358,0.03693520760184605,0.056,0.011837163422022281,0.3731053268981045,0.03758444982311471,0.064,0.011469433947765211,0.3680935720945388,0.019805071969421245,0.05,0.011500840694517612,0.3743781521389565,0.025015046572102184,0.045
45,0.011887513678215044,0.38347524351850476,0.0374966063257632,0.065,0.011947639684079461,0.3843306047253605,0.038699511232849954,0.076,0.011574948836439735,0.37939459177722734,0.022129753251213913,0.035,0.011600938918433557,0.38639629314025475,0.026589323847759933,0.05
46,0.01203513480430021,0.39476891827715754,0.03635687738824343,0.082,0.012092752585998325,0.3950932802296733,0.03931086684078141,0.066,0.011672387554514685,0.390320034635269,0.02615377752322729,0.025,0.011684002801649378,0.39783608745890914,0.02814308167012044,0.05
47,0.012157916585399456,0.40560533857432746,0.036580018229977244,0.064,0.012241830735149214,0.40637416717274055,0.03995988523190464,0.0685,0.011790904435964682,0.4017135324362112,0.02771617397267161,0.05,0.0117756370201219,0.41004634294021025,0.02953925381398224,0.045
48,0.012301417284536298,0.4168964658821568,0.03823066534323939,0.0615,0.012375028594673583,0.41732051507618545,0.04212712398383035,0.0635,0.011938576182103366,0.41086882121424056,0.028980876988869864,0.05,0.011910034958304495,0.4200233409006491,0.029920171704866428,0.065
49,0.012456572430845948,0.4278525409785616,0.039455320508385495,0.0675,0.012518872601454647,0.42829966525491675,0.04352701924345889,0.068,0.012053318266512243,0.4220056237059071,0.03160248245795606,0.055,0.012016685172287439,0.42964781285345205,0.03168613032615873,0.06
50,0.012609425199736771,0.4382031577876831,0.04116057936293183,0.0485,0.012717433491965973,0.43883307718633174,0.04609171769347493,0.0655,0.012220041606527874,0.43236170049389727,0.030835636005056514,0.055,0.012117889848511958,0.43943530735865416,0.029315218351536273,0.115
51,0.012768822915585764,0.4489050150938842,0.04211125976172382,0.071,0.012888383747326319,0.44917163131276067,0.04817278812712958,0.0695,0.0123355162624017,0.44246777760223793,0.034697694859669205,0.055,0.012236513585863555,0.4510228419895654,0.029898537967455088,0.07
52,0.012940056085586387,0.46015557806332735,0.04020896390306611,0.0705,0.013055912194977155,0.459514379397051,0.04991618437252261,0.0645,0.012473496125094345,0.4524153191799328,0.040819536839517834,0.025,0.012375337861030152,0.4598621706039011,0.03106210444889994,0.065
