,state,action,reward,next_state,fare,comm_rate,discount,Marketing
488,[[396  29]],2,433.29527999999993,[[429  31]],1.2,0.15,0.0,False
489,[[429  31]],0,506.78504,[[383  24]],1.2,0.2,0.0,False
490,[[383  24]],1,384.73044,[[389  25]],1.2,0.15,0.0,False
491,[[389  25]],2,380.85522,[[383  23]],1.2,0.15,0.0,False
492,[[383  23]],0,552.29976,[[417  33]],1.2,0.2,0.0,False
493,[[417  33]],2,522.0352800000001,[[399  30]],1.2,0.2,0.0,False
494,[[399  30]],2,537.6828800000001,[[413  28]],1.2,0.2,0.0,False
495,[[413  28]],0,629.3559,[[387  38]],1.2,0.25,0.0,False
496,[[387  38]],2,677.1538,[[416  31]],1.2,0.25,0.0,False
497,[[416  31]],0,766.5701999999999,[[397  27]],1.2,0.3,0.0,False
498,[[397  27]],2,786.0735599999999,[[397  36]],1.2,0.3,0.0,False
499,[[397  36]],1,632.7855999999999,[[386  23]],1.2,0.25,0.0,False
500,[[386  23]],2,689.9814,[[420  32]],1.2,0.25,0.0,False
501,[[420  32]],0,803.02128,[[406  31]],1.2,0.3,0.0,False
502,[[406  31]],2,754.6554,[[384  26]],1.2,0.3,0.0,False
503,[[384  26]],0,979.3453599999999,[[424  31]],1.2,0.35,0.0,False
504,[[424  31]],1,843.7664399999999,[[424  40]],1.2,0.3,0.0,False
505,[[424  40]],2,918.5240399999999,[[445  23]],1.2,0.3,0.0,False
506,[[445  23]],0,1005.4235799999999,[[439  33]],1.2,0.35,0.0,False
507,[[439  33]],0,1075.77808,[[413  27]],1.2,0.4,0.0,False
508,[[413  27]],2,1125.23872,[[428  28]],1.2,0.4,0.0,False
509,[[428  28]],1,914.9667799999999,[[401  26]],1.2,0.35,0.0,False
510,[[401  26]],2,987.84224,[[422  22]],1.2,0.35,0.0,False
511,[[422  22]],1,856.64868,[[421  28]],1.2,0.3,0.0,False
512,[[421  28]],0,937.6189199999999,[[411  24]],1.2,0.35,0.0,False
513,[[411  24]],0,1139.74176,[[435  33]],1.2,0.4,0.0,False
514,[[435  33]],2,1144.86928,[[446  15]],1.2,0.4,0.0,False
515,[[446  15]],0,1326.2723999999998,[[435  16]],1.2,0.45,0.0,False
516,[[435  16]],2,1175.64264,[[408  19]],1.2,0.45,0.0,False
517,[[408  19]],1,1087.92736,[[410  30]],1.2,0.4,0.0,False
518,[[410  30]],0,1236.51936,[[418  22]],1.2,0.45,0.0,False
519,[[418  22]],2,1277.06598,[[423  14]],1.2,0.45,0.0,False
520,[[423  14]],0,1394.4526,[[412  27]],1.2,0.5,0.0,False
521,[[412  27]],2,1270.5484,[[394  25]],1.2,0.5,0.0,False
522,[[394  25]],2,1261.2559999999999,[[386  22]],1.2,0.5,0.0,False
523,[[386  22]],0,1477.27844,[[412  16]],1.2,0.55,0.0,False
524,[[412  16]],2,1457.77808,[[391  28]],1.2,0.55,0.0,False
525,[[391  28]],1,1356.6276,[[408  20]],1.2,0.5,0.0,False
526,[[408  20]],0,1383.4354600000001,[[386  17]],1.2,0.55,0.0,False
527,[[386  17]],1,1340.3032,[[403  23]],1.2,0.5,0.0,False
528,[[403  23]],0,1458.26296,[[401  23]],1.2,0.55,0.0,False
529,[[401  23]],2,1348.02866,[[367  10]],1.2,0.55,0.0,False
530,[[367  10]],2,1421.37754,[[383  19]],1.2,0.55,0.0,False
531,[[383  19]],2,1435.5948200000003,[[388  23]],1.2,0.55,0.0,False
532,[[388  23]],2,1434.3516,[[396  16]],1.2,0.55,0.0,False
533,[[396  16]],0,1380.5594399999998,[[364   9]],1.2,0.6,0.0,False
534,[[364   9]],1,1335.7388,[[355  18]],1.2,0.55,0.0,False
535,[[355  18]],1,1283.0124,[[381  21]],1.2,0.5,0.0,False
536,[[381  21]],1,1146.26178,[[372  14]],1.2,0.45,0.0,False
537,[[372  14]],1,1078.09408,[[392  14]],1.2,0.4,0.0,False
538,[[392  14]],2,1077.1267199999998,[[408  19]],1.2,0.4,0.0,False
539,[[408  19]],2,1024.224,[[375  12]],1.2,0.4,0.0,False
540,[[375  12]],1,852.2484599999999,[[354  21]],1.2,0.35,0.0,False
541,[[354  21]],2,857.3185599999999,[[367  24]],1.2,0.35,0.0,False
542,[[367  24]],1,724.35348,[[363  18]],1.2,0.3,0.0,False
543,[[363  18]],2,673.0572,[[347  10]],1.2,0.3,0.0,False
544,[[347  10]],2,662.3349599999999,[[332  13]],1.2,0.3,0.0,False
