,nP_share,nV_share,Platform_rev
363,0.2915,0.16,1298.24548
364,0.274,0.135,1404.33088
365,0.28,0.13,1439.488
366,0.288,0.18,1318.7466599999998
367,0.2945,0.135,1361.5377999999998
368,0.2865,0.185,1501.34592
369,0.2815,0.18,1300.19204
370,0.284,0.145,1313.6985399999999
371,0.2965,0.16,1512.6265600000002
372,0.2805,0.135,1658.26278
373,0.282,0.1,1705.79412
374,0.286,0.135,1681.95492
375,0.2745,0.15,1596.51486
376,0.2715,0.15,1406.4384
377,0.2845,0.15,1475.76736
378,0.274,0.095,1245.11996
379,0.275,0.155,1226.02564
380,0.274,0.155,1089.2369999999999
381,0.265,0.085,873.829
382,0.2745,0.14,716.65224
383,0.266,0.15,518.358
384,0.2685,0.145,683.97912
385,0.2655,0.13,866.7555
386,0.273,0.14,919.0563
387,0.268,0.19,871.5268
388,0.2685,0.155,886.2582
389,0.255,0.21,692.03448
390,0.2765,0.18,913.8596
391,0.2625,0.2,1048.47804
392,0.2665,0.21,1242.1576999999997
393,0.2685,0.16,1235.90796
394,0.2695,0.195,1228.0507400000001
395,0.265,0.2,1031.77092
396,0.272,0.21,1250.6267199999998
397,0.2565,0.19,1178.1882
398,0.2725,0.115,1081.69752
399,0.2735,0.16,1266.17554
