,nP_share,nV_share,Platform_rev
248,0.1505,0.09,823.8679999999999
249,0.162,0.07,884.3112
250,0.154,0.07,728.34692
251,0.163,0.085,777.5524399999999
252,0.1575,0.095,633.07296
253,0.161,0.095,777.8503599999999
254,0.167,0.085,779.02216
255,0.156,0.05,839.33856
256,0.1585,0.09,881.42848
257,0.1545,0.1,953.42292
258,0.151,0.1,987.9956
259,0.153,0.095,1134.08328
260,0.1595,0.065,1124.4933999999998
261,0.159,0.075,967.8155399999999
262,0.16,0.08,1105.268
263,0.159,0.07,1208.1108599999998
264,0.1715,0.075,1144.2736
265,0.1475,0.075,1082.49746
266,0.141,0.07,1070.99982
267,0.1465,0.09,1177.53432
268,0.1635,0.125,1230.76734
269,0.155,0.06,1064.4694
270,0.1565,0.125,1083.283
271,0.164,0.095,1256.79752
272,0.1595,0.065,1073.6979999999999
273,0.143,0.085,995.6254
274,0.1655,0.08,984.67632
275,0.1615,0.08,1086.6812
276,0.1525,0.075,1032.0259999999998
277,0.167,0.105,1219.3959800000002
278,0.1545,0.08,1140.0774000000001
279,0.154,0.1,1135.74538
280,0.1645,0.08,1135.0585999999998
281,0.1565,0.065,1061.6968000000002
282,0.165,0.065,1162.2036
283,0.1585,0.105,967.95936
284,0.1645,0.075,1118.864
285,0.1405,0.07,1039.6447600000001
286,0.1575,0.03,1110.798
287,0.1515,0.075,1163.2995
288,0.1465,0.08,1002.0488
289,0.156,0.1,938.32722
290,0.152,0.11,839.4809600000001
291,0.1435,0.105,707.5678399999999
292,0.144,0.065,686.5912199999999
293,0.1585,0.095,762.6936799999999
294,0.1475,0.05,599.84304
295,0.1545,0.1,737.7144599999999
296,0.156,0.07,768.4021799999999
297,0.1455,0.09,604.09152
298,0.1425,0.1,591.31728
299,0.148,0.085,504.478
300,0.144,0.08,397.03848
301,0.146,0.085,408.52816
302,0.1595,0.045,441.41560000000004
303,0.145,0.08,298.55922
304,0.1375,0.08,288.80916
305,0.1425,0.095,396.33144000000004
306,0.138,0.09,455.5707
307,0.1425,0.085,383.27952
308,0.1505,0.075,411.20439999999996
309,0.151,0.075,311.21934
310,0.162,0.07,442.00032
311,0.164,0.11,566.2562
312,0.1455,0.07,486.7956
313,0.149,0.065,596.05296
314,0.161,0.1,544.0963999999999
315,0.147,0.095,586.09908
316,0.158,0.1,717.9898599999999
317,0.144,0.11,773.1163200000001
318,0.1465,0.085,695.7141799999999
319,0.1465,0.09,591.30336
320,0.1445,0.09,583.4371199999999
321,0.1615,0.09,670.3672799999999
322,0.1385,0.07,573.8352
323,0.149,0.075,705.27268
324,0.142,0.105,762.0856
325,0.1545,0.1,925.4098799999999
326,0.159,0.07,1080.9234
327,0.1585,0.085,946.86048
328,0.1565,0.09,954.99954
329,0.1585,0.05,975.8979
330,0.158,0.07,1067.143
331,0.1415,0.085,1035.3985400000001
332,0.1485,0.115,1095.90888
333,0.1485,0.075,1203.57144
334,0.1535,0.09,1222.4985599999998
335,0.1355,0.075,1123.1133599999998
336,0.139,0.075,1152.76128
337,0.1565,0.07,1177.72754
338,0.159,0.09,1244.0241
339,0.153,0.065,1074.987
340,0.155,0.1,994.7511
341,0.153,0.075,848.51088
342,0.1495,0.085,788.46592
343,0.1425,0.09,671.89248
344,0.142,0.085,743.6756799999999
345,0.1565,0.075,736.0989999999999
346,0.151,0.1,609.06252
347,0.1545,0.095,629.9294399999999
348,0.151,0.055,523.7083
349,0.146,0.055,572.8451999999999
350,0.156,0.105,754.49682
351,0.158,0.08,738.2115999999999
352,0.1465,0.07,714.10304
353,0.145,0.07,786.3577600000001
354,0.1465,0.11,702.3421999999999
355,0.1565,0.085,841.66064
356,0.1565,0.09,945.62028
357,0.1465,0.075,793.2390399999999
358,0.1395,0.105,860.93712
359,0.155,0.095,1036.9228
360,0.1495,0.07,987.1256
361,0.1595,0.055,1165.6079599999998
362,0.1525,0.06,1059.5911999999998
363,0.1455,0.08,911.1938399999999
364,0.158,0.085,857.5808
365,0.146,0.105,703.20376
366,0.159,0.075,760.1516999999999
367,0.1485,0.07,713.9256599999999
368,0.1565,0.075,640.2436799999999
369,0.1535,0.085,535.8131
370,0.1445,0.105,399.30976
371,0.148,0.115,301.89552
372,0.161,0.095,214.38320000000002
373,0.137,0.08,92.51272
374,0.15,0.08,200.31372
375,0.1605,0.085,223.44516
376,0.1415,0.14,99.03334000000001
377,0.145,0.085,0.0
378,0.147,0.1,0.0
379,0.166,0.115,114.12806
380,0.1605,0.12,107.06454000000001
381,0.152,0.115,202.36436000000003
382,0.1575,0.115,209.57112
383,0.1615,0.125,114.16796
384,0.1495,0.105,0.0
385,0.1615,0.135,0.0
386,0.161,0.14,0.0
387,0.1525,0.14,0.0
388,0.15,0.175,0.0
389,0.1535,0.145,0.0
390,0.1485,0.17,98.29848000000001
391,0.157,0.19,207.84556
392,0.147,0.135,302.26518
393,0.1685,0.145,350.72759999999994
394,0.167,0.165,449.96799999999996
395,0.1715,0.175,349.89689999999996
396,0.165,0.12,463.5468
397,0.1615,0.16,545.8534
398,0.1685,0.145,682.54404
399,0.1585,0.155,661.6387199999999
400,0.16,0.13,529.6585
401,0.1635,0.175,635.9169599999999
402,0.1655,0.14,572.7914000000001
403,0.1635,0.155,663.5681999999999
404,0.166,0.115,784.78358
405,0.1635,0.11,641.65896
406,0.1755,0.12,719.001
407,0.1665,0.15,683.8578
408,0.169,0.18,803.9385199999999
409,0.1635,0.095,660.29868
410,0.1765,0.115,867.7146799999998
411,0.166,0.13,854.75776
412,0.174,0.11,1060.46388
413,0.1805,0.145,1180.5892
414,0.1765,0.115,1334.44036
415,0.1755,0.12,1281.1279799999998
416,0.174,0.11,1235.0533800000003
417,0.179,0.09,1467.0242399999997
418,0.1805,0.095,1338.9213200000002
419,0.1855,0.105,1260.7208
420,0.1785,0.09,1409.29074
421,0.1705,0.06,1266.5534200000002
422,0.1725,0.08,1435.91112
423,0.1755,0.11,1455.75648
424,0.1805,0.08,1363.67
425,0.175,0.075,1188.944
426,0.175,0.125,1072.6264800000001
427,0.1795,0.095,1201.2758
428,0.161,0.095,1167.38336
429,0.1585,0.065,1282.2050399999998
430,0.1635,0.085,1201.28052
431,0.1725,0.075,1166.4876
432,0.1645,0.1,1140.5084
433,0.1595,0.095,958.18068
434,0.168,0.075,866.51424
435,0.176,0.065,925.0255999999999
436,0.162,0.07,735.3641399999999
437,0.1535,0.06,610.54692
438,0.1705,0.055,801.26144
439,0.1645,0.105,675.5415599999999
440,0.158,0.075,529.9766
441,0.1685,0.115,446.59192
442,0.1795,0.075,602.5561
443,0.1565,0.09,628.39536
444,0.172,0.13,572.4051999999999
445,0.1615,0.07,436.09904
446,0.1605,0.11,325.62576
447,0.1535,0.09,198.86527999999998
448,0.1575,0.095,105.08262
449,0.1565,0.1,202.61144000000002
450,0.175,0.1,123.11012000000001
451,0.168,0.11,0.0
452,0.1695,0.105,0.0
453,0.1675,0.135,0.0
454,0.1595,0.155,0.0
455,0.1655,0.165,0.0
456,0.1695,0.135,0.0
457,0.1625,0.14,0.0
458,0.156,0.155,104.235
459,0.1715,0.16,115.04938
