,Unnamed: 0,EXPERIENCE_U,WOM_U,MARKETING_U,OUT,nRIDES,nREJECTED,nDAYS_WORKED,DRIVING_TIME,IDLE_TIME,PICKUP_DIST,DRIVING_DIST,REVENUE,COST,COMMISSION,TRIP_FARE,ACTUAL_INC,mu,INFORMED,working_U,working_P,OUT_TOMORROW,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT
263,131,0.0444121864434247,0.0118566397261955,0.7788448407561396,17.0,13.058823529411764,0.0,12.588235294117649,13186.823529411764,7673.411764705882,62.946470588235286,131.86823529411762,80.79077647058823,32.967058823529406,20.197694117647057,100.98847058823527,47.82371764705882,1.0,1.0,0.1094483780477463,0.1583580725774911,0.8235294117647058,0.0,0.0,1261.1764705882354,85.82352941176471,0.0,261.1764705882353,0.0,6294.64705882353,0.0,391.7647058823529,6892.176470588235,0.0,0.0,0.0,0.0,6412.235294117647
264,132,0.0466554816238476,0.0119462602226998,0.7788448407561396,16.0,13.6875,0.0,13.9375,13463.5,7382.4375,63.088750000000005,134.63500000000002,84.01439999999998,33.658750000000005,21.003599999999995,105.018,50.35565000000001,1.0,1.0,0.1385604233654179,0.1777688390607396,0.875,0.0,0.0,850.4375,69.875,0.0,272.5625,0.0,6308.875,0.0,410.625,7154.625,0.0,0.0,0.0,0.0,6532.0
265,132,0.0466554816238476,0.0119462602226998,0.7788448407561396,16.0,13.6875,0.0,13.9375,13463.5,7382.4375,63.088750000000005,134.63500000000002,84.01439999999998,33.658750000000005,21.003599999999995,105.018,50.35565000000001,1.0,1.0,0.1385604233654179,0.1777688390607396,0.875,0.0,0.0,850.4375,69.875,0.0,272.5625,0.0,6308.875,0.0,410.625,7154.625,0.0,0.0,0.0,0.0,6532.0
266,133,0.0468579910650541,0.0119842227251731,0.7788448407561396,22.0,11.181818181818182,0.0,11.818181818181818,10634.90909090909,10260.727272727272,46.72090909090909,106.3490909090909,69.76669090909091,26.58727272727273,17.441672727272728,87.20836363636364,43.17941818181817,1.0,1.0,0.0869000615333946,0.1427976729787685,0.8181818181818182,0.0,0.0,3833.9545454545455,144.27272727272728,0.0,223.63636363636363,0.0,4672.090909090909,0.0,335.45454545454544,5962.818181818182,0.0,0.0,0.0,0.0,6426.772727272727
267,133,0.0468579910650541,0.0119842227251731,0.7788448407561396,22.0,11.181818181818182,0.0,11.818181818181818,10634.90909090909,10260.727272727272,46.72090909090909,106.3490909090909,69.76669090909091,26.58727272727273,17.441672727272728,87.20836363636364,43.17941818181817,1.0,1.0,0.0869000615333946,0.1427976729787685,0.8181818181818182,0.0,0.0,3833.9545454545455,144.27272727272728,0.0,223.63636363636363,0.0,4672.090909090909,0.0,335.45454545454544,5962.818181818182,0.0,0.0,0.0,0.0,6426.772727272727
268,134,0.050051192242644,0.0120362827671033,0.7788448407561396,14.0,14.642857142857142,0.0,12.214285714285714,13811.92857142857,7008.642857142857,60.64928571428572,138.11928571428572,90.7712,34.52982142857143,22.6928,113.464,56.24137857142856,1.0,1.0,0.1260960409890768,0.1602492112682524,0.7142857142857143,0.0,0.0,644.0714285714286,46.92857142857143,0.0,292.2142857142857,0.0,6064.928571428572,0.0,439.2857142857143,7747.0,0.0,0.0,0.0,0.0,6364.571428571428
269,134,0.050051192242644,0.0120362827671033,0.7788448407561396,14.0,14.642857142857142,0.0,12.214285714285714,13811.92857142857,7008.642857142857,60.64928571428572,138.11928571428572,90.7712,34.52982142857143,22.6928,113.464,56.24137857142856,1.0,1.0,0.1260960409890768,0.1602492112682524,0.7142857142857143,0.0,0.0,644.0714285714286,46.92857142857143,0.0,292.2142857142857,0.0,6064.928571428572,0.0,439.2857142857143,7747.0,0.0,0.0,0.0,0.0,6364.571428571428
270,135,0.0475073316618193,0.0121760991132252,0.7788448407561396,30.0,7.433333333333334,0.0,13.833333333333334,5974.533333333334,15141.433333333332,20.494333333333334,59.74533333333332,46.00629333333334,14.93633333333333,11.501573333333337,57.50786666666667,31.06996,1.0,1.0,0.0775059844117993,0.1318739663941288,0.8333333333333334,0.0,0.0,6867.4,111.5,0.0,148.53333333333333,0.0,2049.4333333333334,0.0,223.0,3925.1,0.0,0.0,0.0,0.0,8274.033333333333
271,135,0.0475073316618193,0.0121760991132252,0.7788448407561396,30.0,7.433333333333334,0.0,13.833333333333334,5974.533333333334,15141.433333333332,20.494333333333334,59.74533333333332,46.00629333333334,14.93633333333333,11.501573333333337,57.50786666666667,31.06996,1.0,1.0,0.0775059844117993,0.1318739663941288,0.8333333333333334,0.0,0.0,6867.4,111.5,0.0,148.53333333333333,0.0,2049.4333333333334,0.0,223.0,3925.1,0.0,0.0,0.0,0.0,8274.033333333333
272,136,0.051313629355442,0.0122146004258638,0.7788448407561396,14.0,15.0,0.0,14.142857142857142,14009.285714285714,6790.142857142857,64.5407142857143,140.09285714285716,89.33005714285714,35.02321428571429,22.33251428571429,111.6625714285714,54.30684285714286,1.0,1.0,0.1526848300936821,0.1785869468179221,0.9285714285714286,0.0,0.0,443.57142857142856,51.21428571428572,0.0,298.35714285714283,0.0,6454.071428571428,0.0,450.0,7555.214285714285,0.0,0.0,0.0,0.0,6346.571428571428
