,state,action,reward,next_state,fare,comm_rate,discount,Marketing
352,[[388  17]],2,2039.3148999999999,[[368  20]],1.2,0.85,0.0,False
353,[[368  20]],0,2171.79828,[[362  24]],1.2,0.9,0.0,False
354,[[362  24]],0,2249.12082,[[354  15]],1.2,0.95,0.0,False
355,[[354  15]],1,2104.01568,[[355  19]],1.2,0.9,0.0,False
356,[[355  19]],0,2434.3252199999997,[[375  22]],1.2,0.95,0.0,False
357,[[375  22]],0,2612.7048,[[381   8]],1.2,1.0,0.0,False
358,[[381   8]],2,2262.2508,[[345  14]],1.2,1.0,0.0,False
359,[[345  14]],2,2197.9632,[[345  26]],1.2,1.0,0.0,False
360,[[345  26]],0,2356.1344,[[356  20]],1.2,1.0,0.0,False
361,[[356  20]],2,2429.4356,[[364  18]],1.2,1.0,0.0,False
362,[[364  18]],2,2414.9903999999997,[[369  16]],1.2,1.0,0.0,False
363,[[369  16]],1,2508.21622,[[388  21]],1.2,0.95,0.0,False
364,[[388  21]],2,2106.5201199999997,[[340  18]],1.2,0.95,0.0,False
365,[[340  18]],1,2162.9883600000003,[[357  20]],1.2,0.9,0.0,False
366,[[357  20]],0,2134.70738,[[338  13]],1.2,0.95,0.0,False
367,[[338  13]],1,2168.55648,[[349  24]],1.2,0.9,0.0,False
368,[[349  24]],1,2115.52216,[[368  12]],1.2,0.85,0.0,False
369,[[368  12]],2,1882.5245799999998,[[332  11]],1.2,0.85,0.0,False
370,[[332  11]],2,1957.8675600000001,[[339  15]],1.2,0.85,0.0,False
371,[[339  15]],0,2084.00868,[[334  21]],1.2,0.9,0.0,False
372,[[334  21]],2,1985.6545199999998,[[330  15]],1.2,0.9,0.0,False
373,[[330  15]],2,1940.04936,[[321  17]],1.2,0.9,0.0,False
374,[[321  17]],0,2144.44678,[[337  15]],1.2,0.95,0.0,False
375,[[337  15]],0,2054.348,[[316  11]],1.2,1.0,0.0,False
376,[[316  11]],0,2227.7560000000003,[[329  17]],1.2,1.0,0.0,False
377,[[329  17]],1,1940.774,[[311  14]],1.2,0.95,0.0,False
378,[[311  14]],0,2213.0112,[[330  17]],1.2,1.0,0.0,False
379,[[330  17]],1,2146.5276599999997,[[330  20]],1.2,0.95,0.0,False
380,[[330  20]],2,2019.2542599999997,[[316  14]],1.2,0.95,0.0,False
381,[[316  14]],2,1986.7764199999997,[[311  21]],1.2,0.95,0.0,False
382,[[311  21]],0,2452.5364,[[359  18]],1.2,1.0,0.0,False
383,[[359  18]],2,2146.8976,[[320  20]],1.2,1.0,0.0,False
384,[[320  20]],2,2382.6903999999995,[[347  14]],1.2,1.0,0.0,False
385,[[347  14]],2,2335.7364000000002,[[339  16]],1.2,1.0,0.0,False
386,[[339  16]],2,2153.6548000000003,[[317  14]],1.2,1.0,0.0,False
387,[[317  14]],0,2336.094,[[342  13]],1.2,1.0,0.0,False
388,[[342  13]],2,2357.9704,[[350  20]],1.2,1.0,0.0,False
389,[[350  20]],0,2085.9175999999998,[[310  22]],1.2,1.0,0.0,False
390,[[310  22]],2,1931.746,[[296  14]],1.2,1.0,0.0,False
391,[[296  14]],1,2007.7847199999999,[[313  15]],1.2,0.95,0.0,False
392,[[313  15]],0,2146.3144,[[314  18]],1.2,1.0,0.0,False
393,[[314  18]],1,2276.8136999999997,[[345  17]],1.2,0.95,0.0,False
394,[[345  17]],1,1844.48124,[[309  17]],1.2,0.9,0.0,False
395,[[309  17]],0,2203.1161199999997,[[342  10]],1.2,0.95,0.0,False
396,[[342  10]],1,1946.2824,[[326  12]],1.2,0.9,0.0,False
397,[[326  12]],1,1897.9928799999998,[[332  10]],1.2,0.85,0.0,False
398,[[332  10]],1,1698.42528,[[321  18]],1.2,0.8,0.0,False
399,[[321  18]],2,1645.35104,[[305  16]],1.2,0.8,0.0,False
400,[[305  16]],2,1698.1638400000002,[[316  23]],1.2,0.8,0.0,False
401,[[316  23]],2,1586.74944,[[291  23]],1.2,0.8,0.0,False
402,[[291  23]],0,1837.3477599999999,[[332  14]],1.2,0.85,0.0,False
403,[[332  14]],0,1793.9645999999998,[[290  27]],1.2,0.9,0.0,False
404,[[290  27]],0,2137.804,[[328  20]],1.2,0.95,0.0,False
405,[[328  20]],1,1970.5823999999998,[[326  13]],1.2,0.9,0.0,False
406,[[326  13]],0,2015.2274,[[314  21]],1.2,0.95,0.0,False
407,[[314  21]],0,2106.4048000000003,[[308  20]],1.2,1.0,0.0,False
408,[[308  20]],2,2149.8812,[[319  16]],1.2,1.0,0.0,False
409,[[319  16]],0,2047.1691999999998,[[311  15]],1.2,1.0,0.0,False
410,[[311  15]],1,1976.6691799999999,[[308  19]],1.2,0.95,0.0,False
411,[[308  19]],1,1857.3012,[[305  14]],1.2,0.9,0.0,False
412,[[305  14]],1,1720.0447,[[305  12]],1.2,0.85,0.0,False
413,[[305  12]],1,1672.4416,[[313  15]],1.2,0.8,0.0,False
414,[[313  15]],0,1690.0757399999998,[[288  18]],1.2,0.85,0.0,False
415,[[288  18]],0,2039.27508,[[331  14]],1.2,0.9,0.0,False
416,[[331  14]],2,1992.14316,[[324  15]],1.2,0.9,0.0,False
417,[[324  15]],2,1836.84708,[[305  19]],1.2,0.9,0.0,False
418,[[305  19]],1,1729.7731199999998,[[306  23]],1.2,0.85,0.0,False
419,[[306  23]],0,1985.7250800000002,[[320  16]],1.2,0.9,0.0,False
420,[[320  16]],1,1896.12322,[[320  12]],1.2,0.85,0.0,False
421,[[320  12]],0,1898.271,[[320  14]],1.2,0.9,0.0,False
422,[[320  14]],0,2004.0485599999997,[[314  21]],1.2,0.95,0.0,False
423,[[314  21]],2,2072.1384799999996,[[326  21]],1.2,0.95,0.0,False
424,[[326  21]],1,2042.96832,[[320  17]],1.2,0.9,0.0,False
425,[[320  17]],0,2014.8607,[[307  18]],1.2,0.95,0.0,False
426,[[307  18]],0,2079.7852000000003,[[308  21]],1.2,1.0,0.0,False
427,[[308  21]],1,2035.5775399999998,[[314  15]],1.2,0.95,0.0,False
428,[[314  15]],0,2071.2932,[[310  14]],1.2,1.0,0.0,False
429,[[310  14]],2,1964.1152,[[304  10]],1.2,1.0,0.0,False
430,[[304  10]],1,2166.7048999999997,[[335  20]],1.2,0.95,0.0,False
431,[[335  20]],1,1899.96012,[[314  10]],1.2,0.9,0.0,False
432,[[314  10]],0,2106.39814,[[325  13]],1.2,0.95,0.0,False
433,[[325  13]],2,2099.01208,[[319  23]],1.2,0.95,0.0,False
434,[[319  23]],1,1863.80172,[[305  10]],1.2,0.9,0.0,False
435,[[305  10]],2,1737.84492,[[280  24]],1.2,0.9,0.0,False
436,[[280  24]],1,1679.93286,[[288  15]],1.2,0.85,0.0,False
437,[[288  15]],2,1713.13692,[[303  23]],1.2,0.85,0.0,False
438,[[303  23]],0,1773.51768,[[294  16]],1.2,0.9,0.0,False
439,[[294  16]],2,1793.50632,[[291  17]],1.2,0.9,0.0,False
440,[[291  17]],2,1792.593,[[308  10]],1.2,0.9,0.0,False
441,[[308  10]],1,1707.76084,[[293  16]],1.2,0.85,0.0,False
442,[[293  16]],2,1744.80894,[[300  24]],1.2,0.85,0.0,False
443,[[300  24]],1,1780.06336,[[325  21]],1.2,0.8,0.0,False
444,[[325  21]],2,1577.4022400000001,[[293  12]],1.2,0.8,0.0,False
445,[[293  12]],2,1689.1840000000002,[[304  16]],1.2,0.8,0.0,False
446,[[304  16]],2,1640.8803200000002,[[302  14]],1.2,0.8,0.0,False
447,[[302  14]],2,1605.7007999999998,[[297  17]],1.2,0.8,0.0,False
448,[[297  17]],2,1743.19648,[[310  22]],1.2,0.8,0.0,False
449,[[310  22]],1,1569.6864,[[306  14]],1.2,0.75,0.0,False
450,[[306  14]],0,1555.3462399999999,[[287  21]],1.2,0.8,0.0,False
451,[[287  21]],0,1827.82538,[[316  14]],1.2,0.85,0.0,False
452,[[316  14]],2,1862.6457999999998,[[332  18]],1.2,0.85,0.0,False
453,[[332  18]],0,1837.5152400000002,[[303  20]],1.2,0.9,0.0,False
454,[[303  20]],2,1742.2635599999999,[[288  17]],1.2,0.9,0.0,False
455,[[288  17]],0,2093.64382,[[322  16]],1.2,0.95,0.0,False
456,[[322  16]],2,2038.60348,[[322  20]],1.2,0.95,0.0,False
457,[[322  20]],2,2137.5098799999996,[[325  18]],1.2,0.95,0.0,False
458,[[325  18]],1,1865.02176,[[306  17]],1.2,0.9,0.0,False
