,state,action,reward,next_state,fare,comm_rate,discount,Marketing
772,[[284  16]],0,1847.9264400000002,[[300  16]],1.2,0.9,0.0,False
773,[[300  16]],1,1559.39028,[[273  12]],1.2,0.85,0.0,False
774,[[273  12]],1,1647.8752,[[295  20]],1.2,0.8,0.0,False
775,[[295  20]],1,1364.7534,[[265  13]],1.2,0.75,0.0,False
776,[[265  13]],0,1274.55232,[[241  16]],1.2,0.8,0.0,False
777,[[241  16]],1,1448.9144999999999,[[279  24]],1.2,0.75,0.0,False
778,[[279  24]],0,1611.17728,[[289   9]],1.2,0.8,0.0,False
779,[[289   9]],2,1441.60608,[[264  10]],1.2,0.8,0.0,False
780,[[264  10]],1,1384.0437,[[269  19]],1.2,0.75,0.0,False
781,[[269  19]],0,1453.55136,[[273  17]],1.2,0.8,0.0,False
782,[[273  17]],2,1361.4368,[[248  14]],1.2,0.8,0.0,False
783,[[248  14]],1,1465.8593999999998,[[292  11]],1.2,0.75,0.0,False
784,[[292  11]],2,1281.4095,[[251  17]],1.2,0.75,0.0,False
785,[[251  17]],1,1365.09744,[[285  17]],1.2,0.7,0.0,False
786,[[285  17]],1,1085.56448,[[245  17]],1.2,0.65,0.0,False
787,[[245  17]],0,1391.3113199999998,[[288  10]],1.2,0.7,0.0,False
788,[[288  10]],2,1354.0326799999998,[[289  17]],1.2,0.7,0.0,False
789,[[289  17]],0,1477.3917,[[281  24]],1.2,0.75,0.0,False
790,[[281  24]],2,1343.3561999999997,[[264  10]],1.2,0.75,0.0,False
791,[[264  10]],2,1384.887,[[269  12]],1.2,0.75,0.0,False
792,[[269  12]],2,1501.35,[[289  17]],1.2,0.75,0.0,False
793,[[289  17]],1,1300.3401599999997,[[267  13]],1.2,0.7,0.0,False
794,[[267  13]],1,1217.6761999999999,[[263  13]],1.2,0.65,0.0,False
795,[[263  13]],2,1230.58598,[[275  20]],1.2,0.65,0.0,False
796,[[275  20]],0,1197.46396,[[257  11]],1.2,0.7,0.0,False
797,[[257  11]],1,1265.20264,[[289  22]],1.2,0.65,0.0,False
798,[[289  22]],2,1230.58624,[[274   8]],1.2,0.65,0.0,False
799,[[274   8]],2,1290.78274,[[280  19]],1.2,0.65,0.0,False
