,Unnamed: 0,EXPERIENCE_U,WOM_U,MARKETING_U,OUT,plat_revenue,rh_U,alt_U,ACTUAL_WT,U_dif,mu,wu,nDAYS_HAILED,nDAYS_TRY,INFORMED,plat_revenue_wod,MATCHING_T,rh_Ux,rh_P,OUT_TOMORROW,fulfilled,STARTS_DAY,REQUESTS_RIDE,RECEIVES_OFFER,IS_REJECTED_BY_VEHICLE,ACCEPTS_OFFER,REJECTS_OFFER,ARRIVES_AT_PICKUP,MEETS_DRIVER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,SETS_OFF_FOR_DEST,ARRIVES_AT_DEST,PREFERS_OTHER_SERVICE,LOSES_PATIENCE
1685,842,0.4874236816409375,0.4891263216338731,0.784057385861741,982.0,1840.7336,-9.94763764992082,-11.250024481919016,2.682739307535641,-0.0808776042068434,1.0,1.0,403.826883910387,404.68329938900206,1.0,1.874474134419554,0.0,0.7842062533809415,0.7726892555546068,0.225050916496945,1.0,0.0,7119.005091649695,0.0,0.0,15.0,0.0,20.0,160.9643584521385,30.0,507.7107942973523,10.0,0.0,0.0,0.0
1686,843,0.487512668839316,0.4889161549919897,0.784057385861741,972.0,1805.7933,-9.905581752972104,-11.25470233687047,2.7983882030178324,-0.1021795067058284,1.0,1.0,408.6296296296296,409.5205761316872,1.0,1.8578120370370388,0.0,0.7914610496635616,0.7797962125413223,0.2139917695473251,1.0,0.0,7116.371399176955,0.0,0.0,15.0,0.0,20.0,167.90329218106996,30.0,502.1615226337449,10.0,0.0,0.0,0.0
1687,843,0.487512668839316,0.4889161549919897,0.784057385861741,972.0,1805.7933,-9.905581752972104,-11.25470233687047,2.7983882030178324,-0.1021795067058284,1.0,1.0,408.6296296296296,409.5205761316872,1.0,1.8578120370370388,0.0,0.7914610496635616,0.7797962125413223,0.2139917695473251,1.0,0.0,7116.371399176955,0.0,0.0,15.0,0.0,20.0,167.90329218106996,30.0,502.1615226337449,10.0,0.0,0.0,0.0
1688,844,0.4875946194524728,0.488507905950773,0.784057385861741,1000.0,1857.3083,-9.863337844444448,-11.14278446226628,2.6862999999999984,-0.0737394617428259,1.0,1.0,401.709,402.626,1.0,1.8573083000000024,0.0,0.7701295037954876,0.7595506286974529,0.231,1.0,0.0,7078.745,0.0,0.0,15.0,0.0,20.0,161.178,30.0,501.988,10.0,0.0,0.0,0.0
1689,844,0.4875946194524728,0.488507905950773,0.784057385861741,1000.0,1857.3083,-9.863337844444448,-11.14278446226628,2.6862999999999984,-0.0737394617428259,1.0,1.0,401.709,402.626,1.0,1.8573083000000024,0.0,0.7701295037954876,0.7595506286974529,0.231,1.0,0.0,7078.745,0.0,0.0,15.0,0.0,20.0,161.178,30.0,501.988,10.0,0.0,0.0,0.0
1690,845,0.4875884956538722,0.4886083098606121,0.784057385861741,993.0,1855.5189,-9.9861754531722,-11.252344501201666,2.8742195367573022,-0.0971751449654583,1.0,1.0,407.2175226586103,408.1198388721047,1.0,1.86859909365559,0.0,0.788497870134875,0.7770027622633535,0.229607250755287,1.0,0.0,7111.88116817724,0.0,0.0,15.0,0.0,20.0,172.45317220543808,30.0,505.7432024169185,10.0,0.0,0.0,0.0
1691,845,0.4875884956538722,0.4886083098606121,0.784057385861741,993.0,1855.5189,-9.9861754531722,-11.252344501201666,2.8742195367573022,-0.0971751449654583,1.0,1.0,407.2175226586103,408.1198388721047,1.0,1.86859909365559,0.0,0.788497870134875,0.7770027622633535,0.229607250755287,1.0,0.0,7111.88116817724,0.0,0.0,15.0,0.0,20.0,172.45317220543808,30.0,505.7432024169185,10.0,0.0,0.0,0.0
1692,846,0.4875580353772921,0.489449195646228,0.784057385861741,965.0,1792.3644999999997,-9.873689444444464,-11.212740028766598,2.714645941278065,-0.0807279974968994,1.0,1.0,406.9139896373057,407.8020725388601,1.0,1.8573725388601043,0.0,0.7908289681974005,0.778945451995537,0.216580310880829,1.0,0.0,7201.490155440414,0.0,0.0,15.0,0.0,20.0,162.87875647668395,30.0,502.0051813471503,10.0,0.0,0.0,0.0
1693,846,0.4875580353772921,0.489449195646228,0.784057385861741,965.0,1792.3644999999997,-9.873689444444464,-11.212740028766598,2.714645941278065,-0.0807279974968994,1.0,1.0,406.9139896373057,407.8020725388601,1.0,1.8573725388601043,0.0,0.7908289681974005,0.778945451995537,0.216580310880829,1.0,0.0,7201.490155440414,0.0,0.0,15.0,0.0,20.0,162.87875647668395,30.0,502.0051813471503,10.0,0.0,0.0,0.0
1694,847,0.487581262918113,0.489577693429733,0.784057385861741,971.0,1785.4486,-10.003630343860864,-11.136779726896348,3.342928252660485,-0.072962845936926,1.0,1.0,409.46138002059735,410.313079299691,1.0,1.838773017507726,0.0,0.7885893400015379,0.7771166394428081,0.2183316168898043,1.0,0.0,7063.94438722966,0.0,0.0,15.0,0.0,20.0,200.57569515962925,30.0,495.8135942327497,10.0,0.0,0.0,0.0
1695,847,0.487581262918113,0.489577693429733,0.784057385861741,971.0,1785.4486,-10.003630343860864,-11.136779726896348,3.342928252660485,-0.072962845936926,1.0,1.0,409.46138002059735,410.313079299691,1.0,1.838773017507726,0.0,0.7885893400015379,0.7771166394428081,0.2183316168898043,1.0,0.0,7063.94438722966,0.0,0.0,15.0,0.0,20.0,200.57569515962925,30.0,495.8135942327497,10.0,0.0,0.0,0.0
1696,848,0.4876052641969146,0.4891722812864764,0.784057385861741,988.0,1844.774,-10.013578750562314,-11.174955461054342,2.9714574898785484,-0.0652602523031966,1.0,1.0,404.11538461538464,404.998987854251,1.0,1.867180161943322,0.0,0.7773052607428388,0.7660333219692322,0.2368421052631578,1.0,0.0,7147.8734817813765,0.0,0.0,15.0,0.0,20.0,178.28744939271257,30.0,505.2773279352227,10.0,0.0,0.0,0.0
1697,848,0.4876052641969146,0.4891722812864764,0.784057385861741,988.0,1844.774,-10.013578750562314,-11.174955461054342,2.9714574898785484,-0.0652602523031966,1.0,1.0,404.11538461538464,404.998987854251,1.0,1.867180161943322,0.0,0.7773052607428388,0.7660333219692322,0.2368421052631578,1.0,0.0,7147.8734817813765,0.0,0.0,15.0,0.0,20.0,178.28744939271257,30.0,505.2773279352227,10.0,0.0,0.0,0.0
