,nP_share,nV_share,Platform_rev
320,0.177,0.115,691.45344
321,0.176,0.08,826.8488199999999
322,0.1725,0.13,694.1973599999999
323,0.156,0.13,610.30872
324,0.164,0.09,767.8472199999999
325,0.156,0.105,615.21336
326,0.1535,0.13,703.1802399999999
327,0.1655,0.13,896.4300800000001
328,0.17,0.12,1053.61866
329,0.171,0.14,1176.2574
330,0.1675,0.09,1109.6635999999999
331,0.1725,0.11,1267.29438
332,0.1705,0.085,1172.6732
333,0.169,0.065,1015.0074
334,0.1655,0.08,1118.1922
335,0.163,0.11,943.93962
336,0.1535,0.12,800.08592
337,0.1645,0.105,849.32704
338,0.1715,0.085,1013.57712
339,0.182,0.115,1190.6248
340,0.177,0.085,1297.46562
341,0.1745,0.105,1192.5832
342,0.1755,0.085,1273.6356600000001
343,0.1755,0.115,1449.0503999999999
344,0.17,0.09,1234.4215399999998
345,0.1625,0.1,1300.08432
346,0.1585,0.065,1372.67312
347,0.172,0.07,1461.79748
348,0.1615,0.07,1546.1681199999998
349,0.1665,0.105,1445.8914599999998
350,0.175,0.05,1640.9343999999996
351,0.17,0.065,1592.92448
352,0.1595,0.055,1376.27152
353,0.1625,0.075,1292.8526399999996
354,0.165,0.055,1478.56254
355,0.1625,0.115,1277.07456
356,0.1695,0.06,1279.83966
357,0.1715,0.13,1344.7077599999998
358,0.168,0.075,1516.5040800000002
359,0.161,0.09,1325.99568
360,0.178,0.095,1587.76982
361,0.1665,0.075,1357.53336
362,0.166,0.07,1456.08554
363,0.172,0.065,1501.00808
364,0.1695,0.105,1315.9656
365,0.167,0.06,1251.31424
366,0.172,0.09,1371.9184799999998
367,0.152,0.1,1242.3273599999998
368,0.162,0.065,1231.42536
369,0.155,0.07,1112.005
370,0.1685,0.055,1159.588
371,0.1615,0.08,1168.12168
372,0.1585,0.055,1084.1816
373,0.152,0.06,1170.78962
374,0.136,0.095,989.4240400000001
375,0.1515,0.06,1217.05632
376,0.157,0.08,1189.7597799999999
377,0.145,0.08,985.6784
378,0.154,0.065,948.52206
379,0.1385,0.105,937.9071999999999
380,0.1405,0.04,855.34128
381,0.1515,0.09,928.0547999999999
382,0.152,0.065,848.64656
383,0.148,0.095,766.14016
384,0.138,0.085,759.53856
385,0.142,0.075,656.73524
386,0.149,0.095,826.1513600000001
387,0.153,0.09,964.9773
388,0.152,0.055,1032.3106
389,0.1545,0.075,1049.6255999999998
390,0.1455,0.095,1106.66028
391,0.1485,0.1,1246.6742399999998
392,0.1595,0.1,1438.3953999999999
393,0.15,0.125,1431.47424
394,0.144,0.07,1284.4150800000002
395,0.1555,0.08,1255.06032
396,0.154,0.055,1195.90042
397,0.1575,0.09,1057.98
398,0.1535,0.075,1154.8882400000002
399,0.15,0.1,1265.8283999999999
