veh,ACCEPTANCE_RATE,PROFIT,PROFIT/hour,IDLE_TIME,nREQUESTS,nRIDES,nREJECTS,DRIVING_DIST,AVE_DRIVING_DIST,DRIVING_TIME,AVE_PICKUP_DIST,AVE_TRIP_DIST,REVENUE,surge_fee,REVENUE/hour,COST,IMPOSED_DELAY,AR
60,83.78378378378379,240.20050000000003,30.025062500000004,1066.0,37,31,6.0,259.31,8.36483870967742,25931.0,2.423225806451613,5.941612903225806,305.028,22,38.1285,64.8275,289,80-90
61,82.05128205128204,234.69750000000002,29.337187500000002,1299.0,39,32,7.0,260.65,8.1453125,26065.0,2.8625000000000003,5.2828125,299.86,33,37.4825,65.1625,232,80-90
62,80.48780487804879,269.9595,33.7449375,476.0,41,33,8.0,269.25,8.159090909090908,26925.0,2.217878787878788,5.941212121212121,337.272,36,42.159,67.3125,548,80-90
63,86.48648648648648,275.502,34.43775,537.0,37,32,5.0,261.72,8.17875,26172.0,1.8784375,6.3003125,340.932,35,42.6165,65.43,175,80-90
64,87.5,256.538,32.06725,1136.0,40,35,5.0,255.24,7.292571428571429,25524.0,1.9985714285714287,5.294,320.348,28,40.0435,63.81,199,80-90
65,84.21052631578947,243.4535,30.4316875,773.0,38,32,6.0,258.65,8.0828125,25865.0,2.506875,5.5759375,308.116,30,38.5145,64.6625,466,80-90
66,75.60975609756098,260.418,32.55225,688.0,41,31,10.0,265.48,8.563870967741936,26548.0,2.3061290322580645,6.257741935483871,326.788,32,40.8485,66.37,367,70-80
67,89.47368421052632,267.2265,33.4033125,445.0,38,34,4.0,262.71,7.726764705882353,26271.0,1.9938235294117648,5.732941176470588,332.904,31,41.613,65.6775,257,80-90
68,82.92682926829268,274.47349999999994,34.30918749999999,785.0,41,34,7.0,263.13,7.739117647058824,26313.0,1.9485294117647058,5.790588235294117,340.256,36,42.532,65.7825,412,80-90
69,81.57894736842105,257.46000000000004,32.182500000000005,501.0,38,31,7.0,263.36,8.495483870967742,26336.0,2.277741935483871,6.217741935483871,323.3,30,40.4125,65.84,361,80-90
70,82.05128205128204,257.6645,32.2080625,711.0,39,32,7.0,260.43,8.1384375,26043.0,2.050625,6.0878125,322.772,25,40.3465,65.1075,281,80-90
71,90.2439024390244,275.223,34.402875,840.0,41,37,4.0,258.58,6.988648648648648,25858.0,1.7213513513513514,5.267297297297297,339.868,32,42.4835,64.645,330,90-100
72,82.05128205128204,245.473,30.684125,956.0,39,32,7.0,256.06,8.001875,25606.0,2.4162500000000002,5.585625,309.488,31,38.686,64.015,554,80-90
73,83.78378378378379,237.5885,29.6985625,1042.0,37,31,6.0,263.31,8.493870967741936,26331.0,2.8106451612903225,5.683225806451613,303.416,30,37.927,65.8275,272,80-90
74,84.61538461538461,268.462,33.55775,846.0,39,33,6.0,263.88,7.996363636363636,26388.0,2.1521212121212123,5.844242424242424,334.432,37,41.804,65.97,255,80-90
75,86.11111111111111,229.7345,28.7168125,932.0,36,31,5.0,258.15,8.327419354838709,25815.0,2.89,5.43741935483871,294.272,30,36.784,64.5375,262,80-90
76,69.04761904761905,236.856,29.607,1233.0,42,29,13.0,263.28000000000003,9.078620689655173,26328.0,2.7948275862068965,6.283793103448276,302.676,26,37.8345,65.82000000000001,695,60-70
77,86.11111111111111,237.54749999999996,29.693437499999995,789.0,36,31,5.0,262.69,8.473870967741936,26269.0,2.769032258064516,5.70483870967742,303.21999999999997,29,37.902499999999996,65.6725,184,80-90
78,85.29411764705883,232.19,29.02375,1013.0,34,29,5.0,259.32,8.94206896551724,25932.0,2.878275862068966,6.063793103448276,297.02,28,37.1275,64.83,228,80-90
79,94.5945945945946,291.18949999999995,36.398687499999994,1108.0,37,35,2.0,258.41,7.3831428571428575,25841.0,1.5071428571428573,5.876,355.792,39,44.474,64.6025,235,90-100
80,87.87878787878788,232.413,29.051625,910.0,33,29,4.0,265.18,9.144137931034482,26518.0,2.830689655172414,6.3134482758620685,298.708,21,37.3385,66.295,306,80-90
81,73.46938775510205,273.366,34.17075,1028.0,49,36,13.0,252.28,7.007777777777778,25228.0,1.8125,5.195277777777778,336.436,40,42.0545,63.07,871,70-80
82,81.81818181818183,205.29399999999998,25.661749999999998,1233.0,33,27,6.0,261.72,9.693333333333335,26172.0,3.775925925925926,5.917407407407408,270.724,25,33.8405,65.43,127,80-90
83,82.92682926829268,268.331,33.541375,949.0,41,34,7.0,258.26,7.595882352941176,25826.0,1.9611764705882353,5.634705882352941,332.896,35,41.612,64.565,271,80-90
