,id,h3_address,D/S,time
218,1095,871968241ffffff,1.0,1900-01-01 08:14:00
219,8008,871969c99ffffff,5.0,1900-01-01 08:14:00
220,3111,871969c9affffff,7.0,1900-01-01 08:22:00
221,9488,871969530ffffff,20.0,1900-01-01 08:23:00
222,2917,871969c9dffffff,4.0,1900-01-01 08:18:00
223,439,871969536ffffff,7.0,1900-01-01 08:16:00
224,4744,871969534ffffff,32.0,1900-01-01 08:23:00
225,5697,871969521ffffff,4.0,1900-01-01 08:17:00
226,245,871969c9dffffff,3.0,1900-01-01 08:14:00
227,9732,871969521ffffff,3.0,1900-01-01 08:17:00
228,932,871969531ffffff,5.0,1900-01-01 08:19:00
229,5887,87196824cffffff,1.0,1900-01-01 08:16:00
230,1301,871969535ffffff,22.0,1900-01-01 08:15:00
231,2122,871969535ffffff,19.0,1900-01-01 08:23:00
232,8716,871969521ffffff,2.0,1900-01-01 08:17:00
233,5144,871969c9bffffff,21.0,1900-01-01 08:16:00
234,5188,871969524ffffff,18.0,1900-01-01 08:17:00
235,4748,87196826bffffff,13.0,1900-01-01 08:18:00
236,7733,871969526ffffff,23.0,1900-01-01 08:22:00
237,1084,871969530ffffff,21.0,1900-01-01 08:23:00
238,844,871969531ffffff,4.0,1900-01-01 08:15:00
239,733,871969534ffffff,31.0,1900-01-01 08:15:00
240,482,871969c9dffffff,4.0,1900-01-01 08:19:00
241,6723,871969534ffffff,29.0,1900-01-01 08:17:00
242,5745,871969531ffffff,3.0,1900-01-01 08:22:00
243,9433,871969520ffffff,10.0,1900-01-01 08:21:00
244,6974,871969c9bffffff,19.0,1900-01-01 08:21:00
245,3428,871969536ffffff,9.0,1900-01-01 08:25:00
246,5904,871969c9effffff,3.0,1900-01-01 08:22:00
247,1567,871969c9bffffff,19.0,1900-01-01 08:20:00
248,9924,871969531ffffff,3.0,1900-01-01 08:26:00
249,1627,871969524ffffff,16.0,1900-01-01 08:24:00
250,2059,871969c9bffffff,18.0,1900-01-01 08:17:00
251,6672,871969535ffffff,14.0,1900-01-01 08:23:00
252,6799,871969c9bffffff,17.0,1900-01-01 08:19:00
253,6974,871969c9bffffff,20.0,1900-01-01 08:21:00
254,6367,871969534ffffff,35.0,1900-01-01 08:19:00
255,5635,871969524ffffff,15.0,1900-01-01 08:18:00
256,5972,871969c99ffffff,2.0,1900-01-01 08:23:00
257,3527,871969c9bffffff,16.0,1900-01-01 08:26:00
258,303,871969536ffffff,11.0,1900-01-01 08:25:00
259,506,871969c9cffffff,6.0,1900-01-01 08:22:00
260,6040,871969c9affffff,8.0,1900-01-01 08:22:00
261,6135,871969534ffffff,35.0,1900-01-01 08:26:00
262,3342,871969526ffffff,20.0,1900-01-01 08:26:00
263,5069,871969526ffffff,19.0,1900-01-01 08:21:00
264,2513,871969532ffffff,9.0,1900-01-01 08:27:00
265,2259,871969536ffffff,11.0,1900-01-01 08:26:00
266,1280,871969535ffffff,22.0,1900-01-01 08:28:00
267,1184,871969c9bffffff,19.0,1900-01-01 08:24:00
268,6558,871969526ffffff,20.0,1900-01-01 08:27:00
269,1172,871969c9affffff,10.0,1900-01-01 08:21:00
270,5599,871969535ffffff,21.0,1900-01-01 08:28:00
271,6222,871969522ffffff,16.0,1900-01-01 08:25:00
272,1587,871969535ffffff,19.0,1900-01-01 08:22:00
273,1241,871969c9affffff,8.0,1900-01-01 08:23:00
274,9286,871969534ffffff,43.0,1900-01-01 08:26:00
275,6488,871969504ffffff,4.0,1900-01-01 08:21:00
276,4481,871969521ffffff,2.0,1900-01-01 08:25:00
277,9518,87196826affffff,1.0,1900-01-01 08:28:00
278,9202,871969504ffffff,5.0,1900-01-01 08:20:00
279,3575,871968269ffffff,6.0,1900-01-01 08:23:00
280,3314,871969534ffffff,42.0,1900-01-01 08:23:00
281,604,871969522ffffff,16.0,1900-01-01 08:27:00
282,7005,871969520ffffff,8.0,1900-01-01 08:27:00
283,5610,871969522ffffff,15.0,1900-01-01 08:27:00
284,8419,871969c9bffffff,13.0,1900-01-01 08:21:00
285,9411,871969504ffffff,5.0,1900-01-01 08:23:00
286,3956,871969520ffffff,11.0,1900-01-01 08:24:00
287,2048,871969531ffffff,5.0,1900-01-01 08:22:00
288,2888,871969c9bffffff,14.0,1900-01-01 08:24:00
289,701,871969531ffffff,4.0,1900-01-01 08:21:00
290,1751,871969531ffffff,3.0,1900-01-01 08:28:00
291,1246,871969535ffffff,21.0,1900-01-01 08:24:00
292,8930,87196826dffffff,1.0,1900-01-01 08:30:00
293,5817,871969534ffffff,43.0,1900-01-01 08:30:00
294,6199,871968269ffffff,5.0,1900-01-01 08:29:00
295,7157,871969534ffffff,42.0,1900-01-01 08:26:00
296,8434,871969c9bffffff,13.0,1900-01-01 08:30:00
297,9584,871969c9affffff,6.0,1900-01-01 08:24:00
