,P_WOM_U,P_MARKETING_U,P_EXPERIENCE_U,P_SHARE,V_WOM_U,V_MARKETING_U,V_EXPERIENCE_U,V_SHARE
42,0.012275019094142112,0.35143995528296756,0.07434417568872845,0.1205,0.012253279140890123,0.34934081762559294,0.0676582060431255,0.11
43,0.012468050403685609,0.36262211004316686,0.08002158698500929,0.1395,0.012402900193099246,0.3599969374001575,0.07094974727622037,0.13
44,0.012674357384508145,0.37398759884573524,0.08437162400260609,0.121,0.012530165671544661,0.3708929475720399,0.07621498937520571,0.115
45,0.012919616828864507,0.3850959650874253,0.08657436539826877,0.1385,0.012725650328150637,0.3804369980783486,0.08498658875209149,0.085
46,0.013157796491835183,0.3960711521479509,0.09389437571423707,0.1395,0.013006278685027456,0.3922805348258329,0.09097668152360537,0.14
47,0.013462198469037909,0.4077329192114449,0.10064806785899283,0.14,0.013263675892236313,0.40398749829044645,0.09226081759200389,0.165
48,0.013794191665272574,0.4185921807697124,0.10705239525319583,0.151,0.013578487183169926,0.4139254513152862,0.09864124226850647,0.15
49,0.014104027991119584,0.4292883763290207,0.11066871237949488,0.155,0.013823858034628383,0.4247367173387868,0.10981859708018041,0.11
50,0.014452996638630719,0.44025868832222603,0.11886387408845721,0.146,0.014122261857396026,0.435148985202112,0.1081990889631854,0.195
51,0.014819375742419425,0.4507024343600464,0.12596758497926608,0.154,0.014628554695320657,0.44757129150289626,0.11205284397219387,0.16
52,0.015265851988959293,0.4607524677243799,0.13144097540647193,0.168,0.014953945661612176,0.45734645780348837,0.12305960596894515,0.145
53,0.015702441934444384,0.4710262772840885,0.1369894156558095,0.1795,0.015193867752701545,0.4677085389782796,0.13314328674584783,0.15
54,0.01613448369092611,0.4811123793529043,0.1401981692015062,0.179,0.015592627692614033,0.4780367355604638,0.14528749848454076,0.13
55,0.016669258147008235,0.4909813210995006,0.14796530775762218,0.1645,0.01605078476540628,0.4871964381325735,0.14787327763915925,0.18
56,0.017167640700092877,0.5015354786619478,0.15582564367065854,0.1735,0.016449289143224705,0.4981889810982535,0.15527879624855603,0.18
57,0.017723083565648733,0.5113987167378571,0.16445824609888499,0.1855,0.016937260279250913,0.5076987176851658,0.16773198379523888,0.165
58,0.018282498484060813,0.5215741237627798,0.17329583952289246,0.182,0.017564396400292302,0.5174060583537455,0.16852386901900157,0.22
59,0.018941496006021505,0.531080291657746,0.1772660083176,0.206,0.018186396155426096,0.5277253924849121,0.18320356820244707,0.145
60,0.019691486776478462,0.54033192824458,0.18729533768476095,0.2065,0.019068052125583716,0.5361018838470717,0.18893975655699374,0.23
61,0.020450250789202335,0.5489328995053178,0.19628238036840523,0.213,0.0198831328769277,0.5442633733942693,0.2005131052079265,0.18
62,0.021170659571782387,0.5580336436889679,0.2050032761859495,0.217,0.020579509374445124,0.5527040725363098,0.21206700325026215,0.195
63,0.022007588801513666,0.5665029735760344,0.21638814132911532,0.2275,0.02139846568838623,0.5619575464210365,0.21900547880643517,0.24
64,0.023025242800152546,0.575444039073948,0.22593790348632378,0.239,0.022296785898345717,0.5706757833979776,0.23346548925132027,0.225
65,0.023938789095124507,0.5838376688785083,0.2377094762585123,0.248,0.023527892565379984,0.578885323989608,0.24520544962459268,0.245
66,0.024938113260438346,0.5922060544401885,0.24728383093954975,0.242,0.02467826597980811,0.588442641535636,0.25482689867048597,0.235
67,0.026211442795906304,0.6005303105710785,0.257097727137345,0.251,0.026014720182954695,0.5966260860227873,0.26567375827894996,0.24
68,0.027668803691589354,0.6082725944233447,0.26616780750652613,0.262,0.027246465687367282,0.6045692999585244,0.27643882801470465,0.245
69,0.029063184651874806,0.6162636010024548,0.27487964516268154,0.271,0.028349563932467115,0.6131258813600933,0.2872965450946651,0.25
70,0.03067419246419515,0.6233291403568513,0.2845439881816719,0.262,0.029167193790888727,0.6210482092250913,0.2882762101669602,0.31
71,0.032401541270442306,0.6309029475909028,0.29274699175164137,0.271,0.030900875260569595,0.6293222286043625,0.2935055894021826,0.255
72,0.03402978675297274,0.6383110014634795,0.3053761817852757,0.303,0.03229971078339863,0.6336051154267464,0.30721686725644687,0.295
73,0.035722314067585983,0.6451740112108822,0.3166589934505819,0.302,0.03399364521754805,0.6395516370414777,0.31792997474760387,0.305
74,0.03776640091010435,0.6518549549786602,0.3279607356999763,0.309,0.03620483636934604,0.645525042158376,0.3228575281949854,0.325
75,0.03989607123263516,0.6588417840020188,0.33925766456865514,0.338,0.038191926000742754,0.6505589771996929,0.3361659500915596,0.29
76,0.042043134019512485,0.6660345066702853,0.3489942846929911,0.327,0.039452509910937794,0.656300804566448,0.34565584381443765,0.29
77,0.04424294020211277,0.6724710462856035,0.3591460469692233,0.3265,0.0414638273270914,0.6631597800220683,0.3552043521949213,0.33
78,0.04687117669889788,0.6791228621561713,0.3677806394010401,0.339,0.043664085922949576,0.6676934810243818,0.3683059911056199,0.29
79,0.04959728883100364,0.6851068334718962,0.3779067512633623,0.352,0.04656485965359145,0.6748693932064426,0.3814084244669895,0.335
80,0.0527551168682799,0.6912585036978343,0.3872814363029023,0.3565,0.04930974383434833,0.6822907917462847,0.3928791543966479,0.375
81,0.055596979620893106,0.6977242164369164,0.397531218551216,0.384,0.05181813682334552,0.687760987259792,0.40631446258243303,0.33
82,0.05874913268257937,0.7033712923482376,0.4069691642593384,0.375,0.05470214874761213,0.6915709318177029,0.42328449239554394,0.325
83,0.062126832077820715,0.7089667288051436,0.416586749521587,0.387,0.05834686954790024,0.6987966361867568,0.43737490635834725,0.35
84,0.0658800032785844,0.7145148643452366,0.4265932034029469,0.3985,0.06173098760973029,0.7024249438319353,0.4472303300193652,0.37
85,0.06944198310403103,0.7197382424793227,0.43611452678854373,0.3875,0.06667109996359641,0.7071471020029623,0.4599660109730308,0.405
86,0.07372002706634147,0.7254092234914234,0.4455786661676999,0.404,0.07235026325909161,0.7113253529859196,0.4722296246812953,0.415
87,0.07837865689771259,0.7303039513950577,0.4555113803071031,0.4165,0.07595948919946753,0.7167367390638387,0.4823267597435689,0.45
88,0.08333656923791706,0.7354617717865094,0.4638835819098774,0.4285,0.08004776300514711,0.7217586242197449,0.49170220649450264,0.41
89,0.08889639483689266,0.7405546463228333,0.4720342273205237,0.429,0.08852801503838816,0.730012329095777,0.5034345383163416,0.43
90,0.09456462250399617,0.7450507616235922,0.48012320522201596,0.437,0.09476789219774621,0.7351064764657638,0.5121904183127107,0.44
91,0.10025436712085789,0.7497326584259062,0.489918436490322,0.458,0.10024467813749537,0.7386868989618992,0.5179394555853397,0.49
92,0.10613086707798228,0.7542354743869184,0.4980825449596438,0.466,0.10769238795716023,0.7439366676774575,0.5316942970378166,0.465
93,0.11264879679993081,0.7581787207859023,0.505657567555778,0.4535,0.11438843457556779,0.748466735938866,0.5447450344162298,0.445
94,0.11892817435815747,0.7626725180841457,0.5135163009641469,0.472,0.12011005778734456,0.753849068629713,0.553292529169466,0.47
95,0.1259914388655937,0.7671719018004564,0.5206727625739489,0.4545,0.1293001592339484,0.758762787329872,0.5523165744843102,0.535
96,0.13357782716362554,0.7715266564261842,0.5281772589687667,0.46,0.1349514299913473,0.7641998135868513,0.555606263800973,0.48
97,0.14134951029298323,0.7755478737401981,0.5349030293502935,0.4705,0.13952499686737266,0.7672507294264176,0.557396326293293,0.515
