,Unnamed: 0,origin,destination,treq,tarr,ttrav,origin_x,origin_y,destination_x,destination_y,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes,dist
10314,10423,46443926,46288057,2020-10-27 17:39:00,1900-01-01 18:24:00,0 days 00:45:00,4.9632769,52.3838369,4.8710126,52.3491764,True,3.0,3112.0,1394.612481195183,1.0,1972.0,33.0,"[['WALK', 517, 654], ['BUS', 622, 4711], ['BUS', 1350, 6744], ['WALK', 590, 739]]",9535
10319,10428,46447128,297095259,2020-10-27 17:32:00,1900-01-01 18:01:00,0 days 00:29:00,4.913117,52.3845149,4.8511993,52.3702558,True,3.0,2356.0,1046.5748045008943,1.0,1289.0,219.0,"[['WALK', 730, 904], ['SUBWAY', 107, 1727], ['WALK', 69, 87], ['TRAM', 1182, 3790], ['WALK', 49, 53]]",8856
10329,10438,46248282,46434627,2020-10-27 17:47:00,1900-01-01 18:01:00,0 days 00:14:00,4.9527397,52.3402631,4.9178639,52.3817252,True,3.0,2990.0,1508.6115714147431,1.0,1624.0,144.0,"[['WALK', 181, 223], ['TRAM', 1279, 5819], ['WALK', 151, 198], ['SUBWAY', 345, 4019], ['WALK', 890, 1086]]",8871
10340,10449,46467493,46265348,2020-10-27 17:06:00,1900-01-01 17:25:00,0 days 00:19:00,4.947357,52.3892231,4.8760105,52.3439298,True,3.0,2598.0,1160.4776090050163,1.0,1215.0,412.0,"[['WALK', 140, 158], ['BUS', 462, 2909], ['WALK', 115, 149], ['SUBWAY', 753, 7441], ['WALK', 716, 851]]",10062
10363,10472,4331521575,46384225,2020-10-27 17:34:00,1900-01-01 17:59:00,0 days 00:25:00,4.9448558,52.3915762,4.8568905,52.3711232,True,3.0,2400.0,482.0457293203484,2.0,1624.0,389.0,"[['WALK', 111, 134], ['BUS', 433, 2706], ['WALK', 115, 149], ['SUBWAY', 107, 1727], ['WALK', 69, 87], ['TRAM', 1084, 3454], ['WALK', 92, 110]]",9279
10369,10478,46222524,46474112,2020-10-27 17:48:00,1900-01-01 18:16:00,0 days 00:28:00,4.9200878,52.3349144,4.9447583,52.3907452,True,3.0,2603.0,820.0389097675336,2.0,1386.0,563.0,"[['WALK', 484, 603], ['SUBWAY', 247, 3330], ['WALK', 44, 54], ['SUBWAY', 710, 7595], ['WALK', 71, 90], ['BUS', 429, 2680], ['WALK', 55, 70]]",9731
10394,10503,1333587519,5385801773,2020-10-27 17:29:00,1900-01-01 18:00:00,0 days 00:31:00,4.9481766,52.3899017,4.866667,52.4037948,True,3.0,3155.0,1772.4569924748464,1.0,1715.0,69.0,"[['WALK', 42, 37], ['BUS', 1041, 6533], ['BUS', 674, 6607], ['WALK', 1329, 1734]]",12404
10395,10505,46461166,46317938,2020-10-27 17:53:00,1900-01-01 18:31:00,0 days 00:38:00,4.9196514,52.3876986,4.8671998,52.3560256,True,3.0,2049.0,893.0210375822062,1.0,947.0,368.0,"[['WALK', 314, 364], ['SUBWAY', 230, 2836], ['WALK', 178, 233], ['TRAM', 717, 2426], ['WALK', 242, 294]]",8147
10396,10506,1744690876,46437623,2020-10-27 17:57:00,1900-01-01 18:01:00,0 days 00:04:00,4.9543182,52.3997385,4.9706112,52.3824248,True,3.0,782.0,512.3408120244346,0.0,365.0,2.0,"[['WALK', 329, 415], ['BUS', 365, 2360], ['WALK', 86, 97]]",2758
10397,10507,1373791931,2850336662,2020-10-27 17:47:00,1900-01-01 18:01:00,0 days 00:14:00,4.8787599,52.3350469,4.9398051,52.394165,True,3.0,2419.0,1104.598360891144,1.0,1065.0,451.0,"[['WALK', 671, 809], ['SUBWAY', 710, 7595], ['WALK', 71, 90], ['BUS', 355, 2180], ['WALK', 161, 204]]",10226
10398,10508,46457355,2101786682,2020-10-27 17:50:00,1900-01-01 18:10:00,0 days 00:20:00,4.9475781,52.38684,4.8380845,52.3463147,True,3.0,2936.0,1276.104353369217,2.0,1460.0,428.0,"[['WALK', 372, 447], ['BUS', 462, 2909], ['WALK', 115, 149], ['SUBWAY', 753, 7441], ['WALK', 44, 54], ['SUBWAY', 245, 3410], ['WALK', 517, 623]]",12550
10407,10517,46447128,46447126,2020-10-27 17:40:00,1900-01-01 18:11:00,0 days 00:31:00,4.913117,52.3845149,4.8890999,52.3845595,True,3.0,1531.0,1202.9710902211723,1.0,483.0,108.0,"[['WALK', 380, 481], ['FERRY', 300, 437], ['WALK', 374, 494], ['BUS', 183, 1199], ['WALK', 186, 226]]",6435
10408,10518,46566460,46441664,2020-10-27 17:31:00,1900-01-01 18:01:00,0 days 00:30:00,4.908004,52.4205859,4.9156933,52.3833433,True,3.0,1951.0,1335.4341879562053,1.0,716.0,144.0,"[['WALK', 104, 123], ['BUS', 600, 2610], ['WALK', 158, 207], ['SUBWAY', 116, 1799], ['WALK', 829, 1004]]",7973
10421,10531,46546520,46271711,2020-10-27 17:01:00,1900-01-01 17:16:00,0 days 00:15:00,4.91833,52.41342,4.875339,52.3453968,True,3.0,2435.0,839.1846841984683,2.0,1406.0,330.0,"[['WALK', 173, 189], ['BUS', 475, 2369], ['WALK', 184, 240], ['SUBWAY', 590, 6376], ['WALK', 89, 114], ['TRAM', 341, 1276], ['WALK', 253, 293]]",10709
10431,10541,46460144,46345045,2020-10-27 17:18:00,1900-01-01 17:34:00,0 days 00:16:00,4.9238129,52.387467,4.8861431,52.3621286,True,3.0,1409.0,987.5886691610688,0.0,348.0,242.0,"[['WALK', 421, 506], ['SUBWAY', 348, 3923], ['WALK', 398, 480]]",6581
10434,10544,46562099,46451372,2020-10-27 17:31:00,1900-01-01 18:01:00,0 days 00:30:00,4.9123483,52.4186834,4.9172109,52.3855312,True,3.0,1878.0,1768.565218029392,0.0,453.0,2.0,"[['WALK', 982, 1225], ['BUS', 453, 2978], ['WALK', 441, 542]]",8113
10438,10548,46481668,46278428,2020-10-27 17:21:00,1900-01-01 17:37:00,0 days 00:16:00,4.9468538,52.3925054,4.9585426,52.3465101,True,3.0,3508.0,1841.416135323692,1.0,1721.0,300.0,"[['WALK', 584, 733], ['BUS', 1199, 8307], ['WALK', 47, 59], ['TRAM', 522, 2521], ['WALK', 856, 1048]]",8714
10443,10553,46474546,46510034,2020-10-27 17:26:00,1900-01-01 17:33:00,0 days 00:07:00,4.9436516,52.3908874,4.9379644,52.4017524,True,3.0,1053.0,963.5331127740458,0.0,273.0,2.0,"[['WALK', 122, 150], ['BUS', 273, 1799], ['WALK', 656, 812]]",2247
10458,10568,46451346,46454791,2020-10-27 17:57:00,1900-01-01 18:01:00,0 days 00:04:00,4.9072779,52.3855483,4.9186556,52.3862703,True,3.0,628.0,422.5041202975858,0.0,290.0,2.0,"[['WALK', 216, 276], ['BUS', 290, 1932], ['WALK', 120, 146]]",1197
