,P_P1_WOM_U,P_P1_MARKETING_U,P_P1_EXPERIENCE_U,P_P1_SHARE,P_P2_WOM_U,P_P2_MARKETING_U,P_P2_EXPERIENCE_U,P_P2_SHARE,V_P1_WOM_U,V_P1_MARKETING_U,V_P1_EXPERIENCE_U,V_P1_SHARE,V_P2_WOM_U,V_P2_MARKETING_U,V_P2_EXPERIENCE_U,V_P2_SHARE
31,0.01064382158825394,0.22450133743275685,0.023761242988331103,0.062,0.01071403907535038,0.22450938770002332,0.02749679751873549,0.073,0.010591373264958652,0.22095625044343692,0.0172420573604273,0.075,0.01062556953138089,0.22587509476978088,0.017597826050175115,0.055
32,0.010707492154584173,0.23588353804314377,0.024475050249310487,0.0765,0.0107827985962836,0.23546244833172975,0.02858050107698382,0.071,0.010639989339271292,0.2322785422524636,0.018255006477971833,0.055,0.01069182501746505,0.23761600900946817,0.018757437386480537,0.06
33,0.010771001254091889,0.24745314635278212,0.025924050787015783,0.0625,0.010861705795976971,0.24716243453566128,0.02911815300424942,0.07,0.010706979146729814,0.24372898555022626,0.018314469619839294,0.075,0.010742744484605785,0.24882502475460483,0.020302293393966542,0.05
34,0.010841705645989873,0.25884384921478504,0.026861557290806845,0.066,0.01093950702793233,0.2585772130134712,0.03091669578011298,0.07,0.010764530523930171,0.2544438080890197,0.018712364473373315,0.065,0.010817998491911477,0.25910803049377074,0.020636202589970155,0.07
35,0.010922101946468674,0.2705466036150998,0.027393181763559406,0.0705,0.011020967870262358,0.26982416701412393,0.033019149909574046,0.072,0.010829906638863433,0.2635627722459948,0.02043349124208592,0.05,0.01088812375229062,0.27119424765026845,0.020677924608586595,0.1
36,0.011005196851271578,0.28186316365993186,0.029164966754331455,0.0735,0.011112249988021497,0.28092571474455913,0.03479379671963837,0.068,0.010901095526614734,0.27395121898204083,0.020917000280434174,0.09,0.010943861616995393,0.28216292027477197,0.02220277032260006,0.06
37,0.011090910152750103,0.2935910708885943,0.03019509056482932,0.065,0.011213783966760323,0.2926154672456487,0.03710059314542441,0.0805,0.010961573967456319,0.2865657846639574,0.022027566325999063,0.05,0.011027643370557325,0.29320717117699663,0.02284705056266223,0.085
38,0.011179864862396244,0.30547803348544905,0.03121880385705316,0.0775,0.011304169678773762,0.30372009156376983,0.03913813086119162,0.0675,0.011042027751182695,0.29818431890556757,0.02348333885845785,0.055,0.011103504424319587,0.3043820921197632,0.022968135846184356,0.08
39,0.0112857840537479,0.31722127421339663,0.03248524837383965,0.073,0.011419338054131643,0.3149401238682408,0.04136279031063271,0.0635,0.011117296498995368,0.31151015985815894,0.024270908040039892,0.06,0.011172321504115668,0.3154754024513172,0.023194707910895063,0.07
40,0.011380049882365935,0.3288153139649063,0.032564753285711935,0.07,0.01153843239509037,0.32689147802872426,0.044130233778639734,0.0785,0.011200729717663158,0.3245354727791849,0.025572439831778412,0.03,0.011262733069567986,0.3263158809239268,0.023920890108896434,0.075
