,state,action,revenue,reward,next_state,nP,nV,fare,comm_rate,discount,Marketing
324,[[322  19]],1,967.04586,124.75,[[329  17]],329,17,1.2,0.45,0.0,False
325,[[329  17]],2,992.09628,126.5,[[346  16]],346,16,1.2,0.45,0.0,False
326,[[346  16]],0,1182.9825999999998,118.75,[[345  13]],345,13,1.2,0.5,0.0,False
327,[[345  13]],2,1141.8035999999997,137.0,[[338  21]],338,21,1.2,0.5,0.0,False
328,[[338  21]],0,1246.4735799999999,135.0,[[350  19]],350,19,1.2,0.55,0.0,False
329,[[350  19]],1,1196.8406,124.25,[[357  14]],357,14,1.2,0.5,0.0,False
330,[[357  14]],2,1201.4286,124.75,[[329  17]],329,17,1.2,0.5,0.0,False
331,[[329  17]],2,1122.4286,131.25,[[335  19]],335,19,1.2,0.5,0.0,False
332,[[335  19]],2,1155.9589999999998,126.0,[[354  15]],354,15,1.2,0.5,0.0,False
333,[[354  15]],1,1097.02458,130.75,[[323  20]],323,20,1.2,0.45,0.0,False
334,[[323  20]],0,1097.9876,135.25,[[341  20]],341,20,1.2,0.5,0.0,False
335,[[341  20]],0,1293.43984,129.5,[[338  18]],338,18,1.2,0.55,0.0,False
336,[[338  18]],1,1140.5588,118.5,[[354  12]],354,12,1.2,0.5,0.0,False
337,[[354  12]],1,1127.2456799999998,142.00000000000003,[[338  23]],338,23,1.2,0.45,0.0,False
338,[[338  23]],2,1038.26952,103.25000000000001,[[313  10]],313,10,1.2,0.45,0.0,False
339,[[313  10]],2,946.79424,125.5,[[332  17]],332,17,1.2,0.45,0.0,False
340,[[332  17]],0,1177.655,119.50000000000001,[[338  14]],338,14,1.2,0.5,0.0,False
341,[[338  14]],1,1003.09338,131.0,[[334  19]],334,19,1.2,0.45,0.0,False
342,[[334  19]],0,1096.6834000000001,108.5,[[304  13]],304,13,1.2,0.5,0.0,False
343,[[304  13]],0,1145.79014,130.25,[[321  20]],321,20,1.2,0.55,0.0,False
344,[[321  20]],1,1073.5296,119.5,[[318  16]],318,16,1.2,0.5,0.0,False
345,[[318  16]],2,1048.074,111.25,[[315  13]],315,13,1.2,0.5,0.0,False
346,[[315  13]],1,923.7158999999999,102.25000000000001,[[309  10]],309,10,1.2,0.45,0.0,False
347,[[309  10]],1,827.48496,135.5,[[332  21]],332,21,1.2,0.4,0.0,False
348,[[332  21]],0,1011.3402600000001,123.5,[[334  16]],334,16,1.2,0.45,0.0,False
349,[[334  16]],1,895.5176,116.74999999999999,[[297  17]],297,17,1.2,0.4,0.0,False
350,[[297  17]],2,798.78672,126.0,[[294  21]],294,21,1.2,0.4,0.0,False
351,[[294  21]],2,814.15632,125.0,[[320  18]],320,18,1.2,0.4,0.0,False
352,[[320  18]],1,748.6925599999998,137.74999999999997,[[311  24]],311,24,1.2,0.35,0.0,False
353,[[311  24]],1,643.23804,118.75,[[315  16]],315,16,1.2,0.3,0.0,False
354,[[315  16]],1,505.929,135.5,[[322  22]],322,22,1.2,0.25,0.0,False
355,[[322  22]],2,534.3422,136.25,[[325  22]],325,22,1.2,0.25,0.0,False
356,[[325  22]],1,443.71072000000004,129.5,[[318  20]],318,20,1.2,0.2,0.0,False
357,[[318  20]],2,437.33736,132.25,[[339  19]],339,19,1.2,0.2,0.0,False
358,[[339  19]],1,351.61397999999997,110.25,[[321  12]],321,12,1.2,0.15,0.0,False
359,[[321  12]],2,315.48294,121.75,[[327  16]],327,16,1.2,0.15,0.0,False
360,[[327  16]],2,337.74317999999994,125.75,[[313  19]],313,19,1.2,0.15,0.0,False
361,[[313  19]],2,306.70014000000003,118.5,[[304  17]],304,17,1.2,0.15,0.0,False
362,[[304  17]],1,200.63972,132.75,[[331  20]],331,20,1.2,0.1,0.0,False
