,origin,destination,treq,tarr,ttrav,origin_x,origin_y,destination_x,destination_y,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes,dist
5543,46301435,46352495,2020-10-27 17:53:00,1900-01-01 18:01:00,0 days 00:08:00,4.870384,52.3523931,4.8705089,52.3639945,True,3.0,1276.0,1039.7206917171682,0.0,420.0,2.0,"[['WALK', 84, 103], ['BUS', 420, 1840], ['WALK', 770, 935]]",2145
5544,46341915,5002844220,2020-10-27 17:21:00,1900-01-01 17:34:00,0 days 00:13:00,4.8626915,52.3614448,4.8367436,52.35046,True,3.0,1534.0,1380.277240585492,0.0,391.0,2.0,"[['WALK', 280, 334], ['TRAM', 391, 2253], ['WALK', 861, 1045]]",3146
5545,46301499,916874958,2020-10-27 17:57:00,1900-01-01 18:01:00,0 days 00:04:00,4.873242,52.3524443,4.8724125,52.3642322,True,3.0,1231.0,1112.364345856971,0.0,341.0,2.0,"[['WALK', 578, 722], ['TRAM', 341, 1317], ['WALK', 310, 389]]",1886
5546,46331852,46367002,2020-10-27 17:06:00,1900-01-01 17:11:00,0 days 00:05:00,4.8613528,52.3592536,4.8676155,52.3675364,True,3.0,934.0,1071.3879323236338,0.0,83.0,2.0,"[['WALK', 654, 825], ['TRAM', 83, 363], ['WALK', 195, 246]]",1685
5547,5366588311,46368467,2020-10-27 17:36:00,1900-01-01 17:46:00,0 days 00:10:00,4.8588292,52.3585661,4.8791425,52.3678987,True,3.0,1075.0,737.5379248049336,0.0,462.0,2.0,"[['WALK', 50, 64], ['TRAM', 462, 1830], ['WALK', 561, 672]]",2314
5548,46335395,2931120203,2020-10-27 17:06:00,1900-01-01 17:16:00,0 days 00:10:00,4.8614875,52.3600438,4.8806798,52.3809044,True,3.0,1291.0,737.1539022520606,1.0,620.0,92.0,"[['WALK', 555, 706], ['TRAM', 390, 1517], ['TRAM', 230, 1093], ['WALK', 24, 30]]",3263
5549,46338006,46357200,2020-10-27 17:00:00,1900-01-01 17:15:00,0 days 00:15:00,4.859265,52.360608,4.8358777,52.3652192,True,3.0,1259.0,1191.4609473561936,0.0,282.0,2.0,"[['WALK', 177, 209], ['TRAM', 282, 1854], ['WALK', 798, 982]]",2524
5550,46354459,46340677,2020-10-27 17:25:00,1900-01-01 17:30:00,0 days 00:05:00,4.872243,52.3644752,4.8569758,52.3611891,True,3.0,1021.0,915.5048420976208,0.0,272.0,2.0,"[['WALK', 355, 428], ['TRAM', 272, 1029], ['WALK', 392, 486]]",2171
5551,46346468,410951235,2020-10-27 17:48:00,1900-01-01 17:52:00,0 days 00:04:00,4.8714474,52.3625354,4.8520491,52.3593912,True,3.0,759.0,501.1946240537091,0.0,345.0,2.0,"[['WALK', 188, 232], ['TRAM', 345, 1686], ['WALK', 224, 268]]",2043
5552,46356117,2305669220,2020-10-27 17:55:00,1900-01-01 18:03:00,0 days 00:08:00,4.8719999,52.3647825,4.8568806,52.3646071,True,3.0,701.0,509.3342781902848,0.0,272.0,2.0,"[['WALK', 325, 390], ['TRAM', 272, 1029], ['WALK', 102, 118]]",1838
5553,46351516,46354426,2020-10-27 17:41:00,1900-01-01 18:01:00,0 days 00:20:00,4.8680426,52.363578,4.8441346,52.3642716,True,3.0,1145.0,1019.4438045025076,0.0,315.0,2.0,"[['WALK', 292, 349], ['TRAM', 315, 1094], ['WALK', 536, 669]]",1893
5554,46304102,2300133206,2020-10-27 17:38:00,1900-01-01 18:01:00,0 days 00:23:00,4.9210416,52.3528129,4.8739737,52.3648367,True,3.0,1761.0,1062.6628270634478,0.0,909.0,2.0,"[['WALK', 616, 771], ['TRAM', 909, 3828], ['WALK', 234, 291]]",4395
5555,46419807,46334837,2020-10-27 17:45:00,1900-01-01 18:01:00,0 days 00:16:00,4.8942334,52.3786703,4.8636481,52.3598916,True,3.0,1606.0,579.3556390894956,1.0,866.0,260.0,"[['WALK', 346, 417], ['TRAM', 573, 1795], ['TRAM', 293, 1137], ['WALK', 134, 161]]",3907
5556,1546532002,5366588311,2020-10-27 17:48:00,1900-01-01 18:01:00,0 days 00:13:00,4.8465467,52.3468511,4.8588292,52.3585661,True,3.0,1202.0,255.74000751708653,1.0,762.0,237.0,"[['WALK', 28, 27], ['BUS', 480, 2914], ['WALK', 125, 163], ['TRAM', 282, 1748], ['WALK', 50, 64]]",1945
5557,46357050,6932152173,2020-10-27 17:29:00,1900-01-01 17:38:00,0 days 00:09:00,4.87686,52.3651566,4.8562364,52.3524231,True,3.0,1284.0,722.1502180310049,0.0,668.0,2.0,"[['WALK', 507, 604], ['TRAM', 668, 2520], ['WALK', 107, 117]]",2467
5558,46347682,1350198564,2020-10-27 17:50:00,1900-01-01 18:01:00,0 days 00:11:00,4.8881687,52.3628351,4.8791765,52.363629,True,3.0,559.0,508.5405488650961,0.0,132.0,2.0,"[['WALK', 184, 223], ['TRAM', 132, 573], ['WALK', 241, 284]]",938
5559,280508207,46405764,2020-10-27 17:02:00,1900-01-01 17:12:00,0 days 00:10:00,4.8685598,52.3598077,4.8827109,52.3757143,True,3.0,1453.0,1206.4870451009065,0.0,477.0,2.0,"[['WALK', 660, 838], ['TRAM', 477, 1814], ['WALK', 314, 367]]",2815
5560,1352598293,46326476,2020-10-27 17:50:00,1900-01-01 18:02:00,0 days 00:12:00,4.8594935,52.3576169,4.7796365,52.3579466,True,3.0,1801.0,884.074195479745,0.0,1080.0,2.0,"[['WALK', 205, 245], ['TRAM', 1080, 6446], ['WALK', 514, 638]]",6512
5561,46336500,46340677,2020-10-27 17:56:00,1900-01-01 18:01:00,0 days 00:05:00,4.8571559,52.3602452,4.8569758,52.3611891,True,1.0,576.0,738.6728646585609,0.0,0.0,0.0,"[['WALK', 576, 738]]",1094
5562,2300133206,46351122,2020-10-27 17:56:00,1900-01-01 18:01:00,0 days 00:05:00,4.8739737,52.3648367,4.8692546,52.3636625,True,1.0,354.0,414.2311729236454,0.0,0.0,0.0,"[['WALK', 354, 413]]",1144
5563,2311108155,46330125,2020-10-27 17:28:00,1900-01-01 17:34:00,0 days 00:06:00,4.8742706,52.364419,4.8520476,52.3588116,True,3.0,753.0,496.31139849109735,0.0,345.0,2.0,"[['WALK', 232, 291], ['TRAM', 345, 1686], ['WALK', 174, 204]]",2005
5564,46328500,46330371,2020-10-27 17:56:00,1900-01-01 18:01:00,0 days 00:05:00,4.8619258,52.3584589,4.8553701,52.3589349,True,3.0,575.0,712.0505263106097,0.0,0.0,0.0,"[['WALK', 575, 711]]",1731
5565,46328500,46389843,2020-10-27 17:45:00,1900-01-01 18:15:00,0 days 00:30:00,4.8619258,52.3584589,4.8006537,52.3723664,True,3.0,1384.0,427.6773834553108,1.0,1033.0,8.0,"[['WALK', 159, 188], ['TRAM', 621, 3891], ['WALK', 77, 99], ['BUS', 412, 2224], ['WALK', 107, 139]]",6428
5566,46513952,6653544422,2020-10-27 17:27:00,1900-01-01 18:01:00,0 days 00:34:00,4.8363827,52.4029297,4.8863903,52.3546067,True,3.0,2906.0,2413.741112765978,1.0,659.0,317.0,"[['WALK', 1386, 1719], ['RAIL', 360, 4345], ['WALK', 156, 204], ['SUBWAY', 299, 2962], ['WALK', 388, 489]]",7855
5567,3301285159,46406206,2020-10-27 17:33:00,1900-01-01 17:48:00,0 days 00:15:00,4.9163454,52.3629652,4.8781149,52.3757813,True,3.0,1400.0,688.8362255609982,0.0,844.0,2.0,"[['WALK', 148, 194], ['TRAM', 844, 3388], ['WALK', 406, 494]]",4342
5568,46353629,46333666,2020-10-27 17:37:00,1900-01-01 17:42:00,0 days 00:05:00,4.8759891,52.3643047,4.859806,52.3596026,True,3.0,582.0,424.2332180390718,0.0,225.0,2.0,"[['WALK', 270, 335], ['TRAM', 225, 996], ['WALK', 85, 88]]",1544
5569,6933164026,46351516,2020-10-27 17:46:00,1900-01-01 18:24:00,0 days 00:38:00,4.8599315,52.3589709,4.8680426,52.363578,True,3.0,669.0,663.4401503675454,0.0,127.0,2.0,"[['WALK', 33, 34], ['TRAM', 127, 515], ['WALK', 507, 628]]",972
5570,46346716,46329409,2020-10-27 17:21:00,1900-01-01 17:44:00,0 days 00:23:00,4.840948,52.3625353,4.8368637,52.3585536,True,3.0,531.0,577.5982180390718,0.0,60.0,2.0,"[['WALK', 227, 271], ['BUS', 60, 477], ['WALK', 242, 305]]",717
