====================================================================
====================================================================
New simulation started at:    2023-02-28 10:47:20.510108
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost
108,61,13,1,0.0,2.0,0.4,False,0.0,71,11,-279.86,0.0,0
109,71,11,2,0.0,2.0,0.4,False,0.0,58,10,-288.89,0.0,0
110,58,10,2,0.0,2.0,0.4,False,0.0,78,11,-326.32,0.0,0
111,78,11,1,0.0,2.0,0.4,False,0.0,63,10,-297.59,0.0,0
112,63,10,2,0.0,2.0,0.4,False,0.0,62,13,-282.89,0.0,0
113,62,13,1,0.0,2.0,0.4,False,0.0,76,13,-331.32,0.0,0
114,76,13,0,0.05,2.0,0.4,False,45.98,79,17,-309.32,45.98,0
115,79,17,0,0.1,2.0,0.4,False,69.47,66,18,-195.75,69.47,0
116,66,18,0,0.15,2.0,0.4,False,125.13,82,13,-184.61,125.13,0
117,82,13,0,0.2,2.0,0.4,False,188.42,85,14,-170.22,188.42,0
118,85,14,0,0.25,2.0,0.4,False,195.18,70,20,-89.93,195.18,0
119,70,20,2,0.25,2.0,0.4,False,213.92,79,10,-95.3,213.92,0
120,79,10,2,0.25,2.0,0.4,False,198.81,80,14,-94.43,198.81,0
121,80,14,2,0.25,2.0,0.4,False,249.8,89,14,-116.86,249.8,0
122,89,14,1,0.2,2.0,0.4,False,157.53,76,16,-129.87,157.53,0
123,76,16,0,0.25,2.0,0.4,False,187.22,69,12,-82.69,187.22,0
124,69,12,0,0.3,2.0,0.4,False,287.45,91,8,-53.32,287.45,0
125,91,8,2,0.3,2.0,0.4,False,258.67,82,6,-48.62,258.67,0
126,82,6,1,0.25,2.0,0.4,False,187.2,72,14,-71.53,187.2,0
127,72,14,1,0.2,2.0,0.4,False,197.57,92,7,-152.43,197.57,0
128,92,7,0,0.25,2.0,0.4,False,204.29,78,13,-86.7,204.29,0
129,78,13,1,0.2,2.0,0.4,False,209.84,98,11,-160.53,209.84,0
130,98,11,2,0.2,2.0,0.4,False,181.2,89,12,-118.27,181.2,0
131,89,12,1,0.15,2.0,0.4,False,143.72,89,13,-198.18,143.72,0
132,89,13,0,0.2,2.0,0.4,False,191.64,92,10,-133.87,191.64,0
133,92,10,1,0.15,2.0,0.4,False,129.14,85,17,-156.4,129.14,0
134,85,17,2,0.15,2.0,0.4,False,136.85,97,13,-170.09,136.85,0
135,97,13,2,0.15,2.0,0.4,False,162.92,107,14,-199.75,162.92,0
136,107,14,1,0.1,2.0,0.4,False,95.05,94,13,-205.01,95.05,0
137,94,13,1,0.05,2.0,0.4,False,43.34,96,15,-234.89,43.34,0
138,96,15,0,0.1,2.0,0.4,False,108.41,107,17,-250.78,108.41,0
139,107,17,0,0.15,2.0,0.4,False,155.71,106,16,-161.43,155.71,0
140,106,16,0,0.2,2.0,0.4,False,193.73,102,15,-81.1,193.73,0
141,102,15,0,0.25,2.0,0.4,False,252.04,99,21,-43.45,252.04,0
142,99,21,1,0.2,2.0,0.4,False,200.47,107,10,-75.07,200.47,0
143,107,10,2,0.2,2.0,0.4,False,208.7,108,12,-91.35,208.7,0
144,108,12,0,0.25,2.0,0.4,False,293.68,129,15,-67.92,293.68,0
145,129,15,2,0.25,2.0,0.4,False,284.24,118,14,-31.8,284.24,0
146,118,14,1,0.2,2.0,0.4,False,254.24,128,12,-97.91,254.24,0
147,128,12,1,0.15,2.0,0.4,False,187.8,129,16,-185.02,187.8,0
148,129,16,0,0.2,2.0,0.4,False,202.44,105,15,-66.39,202.44,0
149,105,15,2,0.2,2.0,0.4,False,257.06,123,16,-117.26,257.06,0
150,123,16,1,0.15,2.0,0.4,False,169.91,116,17,-118.45,169.91,0
151,116,17,2,0.15,2.0,0.4,False,166.94,123,20,-133.98,166.94,0
152,123,20,1,0.1,2.0,0.4,False,127.51,125,16,-225.78,127.51,0
153,125,16,2,0.1,2.0,0.4,False,116.73,125,21,-168.85,116.73,0
154,125,21,0,0.15,2.0,0.4,False,195.04,138,14,-143.41,195.04,0
155,138,14,2,0.15,2.0,0.4,False,178.92,127,26,-112.46,178.92,0
156,127,26,1,0.1,2.0,0.4,False,142.51,150,14,-203.03,142.51,0
157,150,14,2,0.1,2.0,0.4,False,154.48,163,30,-275.19,154.48,0
158,163,30,0,0.15,2.0,0.4,False,196.38,144,21,-130.25,196.38,0
159,144,21,2,0.15,2.0,0.4,False,206.02,148,16,-133.19,206.02,0
160,148,16,1,0.1,2.0,0.4,False,152.28,157,21,-254.11,152.28,0
161,157,21,1,0.05,2.0,0.4,False,75.58,155,24,-300.17,75.58,0
162,155,24,2,0.05,2.0,0.4,False,77.67,162,20,-325.57,77.67,0
163,162,20,0,0.1,2.0,0.4,False,154.42,165,26,-213.45,154.42,0
164,165,26,0,0.15,2.0,0.4,False,254.03,177,25,-148.42,254.03,0
165,177,25,0,0.2,2.0,0.4,False,298.28,163,25,0.17,298.28,0
166,163,25,2,0.2,2.0,0.4,False,345.99,185,24,-53.05,345.99,0
167,185,24,2,0.2,2.0,0.4,False,308.1,173,25,-16.32,308.1,0
168,173,25,1,0.15,2.0,0.4,False,260.63,190,27,-105.88,260.63,0
169,190,27,1,0.1,2.0,0.4,False,162.19,184,23,-141.96,162.19,0
170,184,23,2,0.1,2.0,0.4,False,176.04,189,25,-175.73,176.04,0
171,189,25,2,0.1,2.0,0.4,False,182.28,187,28,-203.36,182.28,0
172,187,28,0,0.15,2.0,0.4,False,289.74,199,29,-158.99,289.74,0
173,199,29,1,0.1,2.0,0.4,False,184.92,195,38,-168.65,184.92,0
174,195,38,0,0.15,2.0,0.4,False,294.77,209,30,-79.7,294.77,0
175,209,30,1,0.1,2.0,0.4,False,186.85,204,26,-161.26,186.85,0
176,204,26,1,0.05,2.0,0.4,False,86.08,195,36,-218.15,86.08,0
177,195,36,1,0.0,2.0,0.4,False,0.0,215,28,-408.16,0.0,0
178,215,28,1,0.0,2.0,0.4,False,0.0,228,31,-405.86,0.0,0
179,228,31,1,0.0,2.0,0.4,False,0.0,224,30,-365.63,0.0,0
180,224,30,0,0.05,2.0,0.4,False,109.5,229,36,-324.95,109.5,0
181,229,36,2,0.05,2.0,0.4,False,105.49,233,35,-272.28,105.49,0
182,233,35,0,0.1,2.0,0.4,False,229.96,252,29,-196.96,229.96,0
183,252,29,1,0.05,2.0,0.4,False,114.45,248,33,-254.48,114.45,0
184,248,33,0,0.1,2.0,0.4,False,232.16,249,41,-212.96,232.16,0
185,249,41,0,0.15,2.0,0.4,False,347.94,252,40,-53.87,347.94,0
186,252,40,2,0.15,2.0,0.4,False,337.37,246,41,-17.96,337.37,0
187,246,41,0,0.2,2.0,0.4,False,472.57,254,43,49.47,472.57,0
188,254,43,0,0.25,2.0,0.4,False,604.62,265,35,158.95,604.62,0
189,265,35,2,0.25,2.0,0.4,False,578.95,254,27,184.88,578.95,0
190,254,27,1,0.2,2.0,0.4,False,471.71,254,36,86.63,471.71,0
191,254,36,2,0.2,2.0,0.4,False,485.3,267,36,56.98,485.3,0
192,267,36,0,0.25,2.0,0.4,False,567.46,255,35,213.61,567.46,0
193,255,35,1,0.2,2.0,0.4,False,485.45,269,34,118.35,485.45,0
194,269,34,2,0.2,2.0,0.4,False,477.11,261,35,128.13,477.11,0
195,261,35,1,0.15,2.0,0.4,False,380.56,279,31,-74.51,380.56,0
196,279,31,0,0.2,2.0,0.4,False,516.5,292,35,126.38,516.5,0
197,292,35,2,0.2,2.0,0.4,False,462.86,261,32,115.89,462.86,0
198,261,32,0,0.25,2.0,0.4,False,636.37,286,29,219.93,636.37,0
199,286,29,2,0.25,2.0,0.4,False,675.18,302,40,193.67,675.18,0
200,302,40,0,0.3,2.0,0,False,786.51,294,45,786.51,786.51,0
201,294,45,2,0.3,2.0,0,False,817.2,296,31,817.2,817.2,0
202,296,31,2,0.3,2.0,0,False,734.35,274,34,734.35,734.35,0
203,274,34,2,0.3,2.0,0,False,755.94,274,34,755.94,755.94,0
204,274,34,0,0.35,2.0,0,False,818.53,264,30,818.53,818.53,0
205,264,30,1,0.3,2.0,0,False,656.77,251,30,656.77,656.77,0
206,251,30,2,0.3,2.0,0,False,674.31,249,24,674.31,674.31,0
207,249,24,0,0.35,2.0,0,False,793.79,254,27,793.79,793.79,0
208,254,27,1,0.3,2.0,0,False,613.68,236,28,613.68,613.68,0
209,236,28,0,0.35,2.0,0,False,740.23,233,27,740.23,740.23,0
210,233,27,0,0.4,2.0,0,False,813.11,239,27,813.11,813.11,0
211,239,27,2,0.4,2.0,0,False,800.47,224,23,800.47,800.47,0
212,224,23,2,0.4,2.0,0,False,794.62,228,23,794.62,794.62,0
213,228,23,2,0.4,2.0,0,False,765.5,226,22,765.5,765.5,0
214,226,22,1,0.35,2.0,0,False,612.89,202,21,612.89,612.89,0
215,202,21,2,0.35,2.0,0,False,692.93,224,16,692.93,692.93,0
216,224,16,1,0.3,2.0,0,False,536.87,203,20,536.87,536.87,0
217,203,20,1,0.25,2.0,0,False,478.48,205,20,478.48,478.48,0
218,205,20,1,0.2,2.0,0,False,396.84,218,25,396.84,396.84,0
219,218,25,2,0.2,2.0,0,False,379.22,213,23,379.22,379.22,0
220,213,23,2,0.2,2.0,0,False,317.13,193,21,317.13,317.13,0
221,193,21,2,0.2,2.0,0,False,317.48,183,28,317.48,317.48,0
222,183,28,0,0.25,2.0,0,False,460.93,213,19,460.93,460.93,0
223,213,19,0,0.3,2.0,0,False,557.04,213,29,557.04,557.04,0
224,213,29,1,0.25,2.0,0,False,425.86,201,25,425.86,425.86,0
225,201,25,1,0.2,2.0,0,False,391.13,216,27,391.13,391.13,0
226,216,27,1,0.15,2.0,0,False,236.36,189,19,236.36,236.36,0
227,189,19,0,0.2,2.0,0,False,307.77,178,29,307.77,307.77,0
228,178,29,0,0.25,2.0,0,False,375.71,184,22,375.71,375.71,0
229,184,22,1,0.2,2.0,0,False,342.48,189,29,342.48,342.48,0
230,189,29,0,0.25,2.0,0,False,450.83,200,24,450.83,450.83,0
231,200,24,1,0.2,2.0,0,False,351.07,199,23,351.07,351.07,0
232,199,23,2,0.2,2.0,0,False,309.87,186,23,309.87,309.87,0
233,186,23,2,0.2,2.0,0,False,331.96,189,21,331.96,331.96,0
234,189,21,0,0.25,2.0,0,False,484.5,206,27,484.5,484.5,0
235,206,27,0,0.3,2.0,0,False,522.87,197,27,522.87,522.87,0
236,197,27,1,0.25,2.0,0,False,439.66,201,24,439.66,439.66,0
237,201,24,1,0.2,2.0,0,False,387.98,209,27,387.98,387.98,0
238,209,27,2,0.2,2.0,0,False,330.55,191,28,330.55,330.55,0
239,191,28,0,0.25,2.0,0,False,415.07,190,31,415.07,415.07,0
240,190,31,2,0.25,2.0,0,False,404.81,187,23,404.81,404.81,0
241,187,23,2,0.25,2.0,0,False,450.89,197,27,450.89,450.89,0
242,197,27,0,0.3,2.0,0,False,519.51,197,27,519.51,519.51,0
243,197,27,1,0.25,2.0,0,False,460.26,195,23,460.26,460.26,0
244,195,23,0,0.3,2.0,0,False,523.36,193,26,523.36,523.36,0
245,193,26,0,0.35,2.0,0,False,515.9,172,25,515.9,515.9,0
246,172,25,2,0.35,2.0,0,False,584.67,187,16,584.67,584.67,0
247,187,16,2,0.35,2.0,0,False,617.88,199,15,617.88,617.88,0
248,199,15,1,0.3,2.0,0,False,474.41,184,23,474.41,474.41,0
249,184,23,0,0.35,2.0,0,False,547.06,178,18,547.06,547.06,0
250,178,18,2,0.35,2.0,0,False,589.52,186,22,589.52,589.52,0
251,186,22,1,0.3,2.0,0,False,434.87,169,19,434.87,434.87,0
252,169,19,0,0.35,2.0,0,False,563.16,184,26,563.16,563.16,0
253,184,26,0,0.4,2.0,0,False,653.17,181,21,653.17,653.17,0
254,181,21,2,0.4,2.0,0,False,681.14,184,16,681.14,681.14,0
255,184,16,0,0.45,2.0,0,False,736.49,181,16,736.49,736.49,0
256,181,16,0,0.5,2.0,0,False,698.25,166,12,698.25,698.25,0
257,166,12,2,0.5,2.0,0,False,799.06,178,11,799.06,799.06,0
258,178,11,0,0.55,2.0,0,False,783.65,166,9,783.65,783.65,0
259,166,9,1,0.5,2.0,0,False,776.42,170,12,776.42,776.42,0
260,170,12,1,0.45,2.0,0,False,632.28,149,15,632.28,632.28,0
261,149,15,1,0.4,2.0,0,False,544.86,144,11,544.86,544.86,0
262,144,11,2,0.4,2.0,0,False,610.08,164,12,610.08,610.08,0
263,164,12,0,0.45,2.0,0,False,706.91,160,9,706.91,706.91,0
264,160,9,0,0.5,2.0,0,False,624.67,143,17,624.67,624.67,0
