====================================================================
====================================================================
New simulation started at:    2023-02-27 02:28:13.090139
Baseline: 
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost
107,93,5,-,0.1,1.2,0.4,False,-119.78,78,9,-119.78,53.64,0
108,78,9,-,0.1,1.2,0.4,False,-129.9,87,5,-129.9,59.18,0
109,87,5,-,0.1,1.2,0.4,False,-143.98,93,3,-143.98,64.25,0
110,93,3,-,0.1,1.2,0.4,False,-128.5,82,7,-128.5,56.4,0
111,82,7,-,0.1,1.2,0.4,False,-142.13,93,4,-142.13,62.89,0
112,93,4,-,0.1,1.2,0.4,False,-149.93,95,8,-149.93,66.21,0
113,95,8,-,0.1,1.2,0.4,False,-140.63,94,4,-140.63,64.52,0
114,94,4,-,0.1,1.2,0.4,False,-144.54,100,12,-144.54,65.4,0
115,100,12,-,0.1,1.2,0.4,False,-127.82,81,10,-127.82,60.11,0
116,81,10,-,0.1,1.2,0.4,False,-138.28,100,6,-138.28,64.0,0
117,100,6,-,0.1,1.2,0.4,False,-126.24,91,6,-126.24,57.8,0
118,91,6,-,0.1,1.2,0.4,False,-151.14,103,9,-151.14,70.74,0
119,103,9,-,0.1,1.2,0.4,False,-154.53,102,5,-154.53,73.37,0
120,102,5,-,0.1,1.2,0.4,False,-98.14,88,12,-98.14,53.96,0
121,88,12,-,0.1,1.2,0.4,False,-188.89,118,6,-188.89,86.62,0
122,118,6,-,0.1,1.2,0.4,False,-137.19,108,9,-137.19,73.8,0
123,108,9,-,0.1,1.2,0.4,False,-112.54,101,5,-112.54,66.4,0
124,101,5,-,0.1,1.2,0.4,False,-156.23,122,9,-156.23,79.1,0
125,122,9,-,0.1,1.2,0.4,False,-146.22,120,14,-146.22,82.3,0
126,120,14,-,0.1,1.2,0.4,False,-102.74,107,5,-102.74,69.03,0
127,107,5,-,0.1,1.2,0.4,False,-135.26,114,13,-135.26,76.68,0
128,114,13,-,0.1,1.2,0.4,False,-172.55,130,14,-172.55,91.75,0
129,130,14,-,0.1,1.2,0.4,False,-149.39,140,14,-149.39,91.46,0
130,140,14,-,0.1,1.2,0.4,False,-125.42,136,14,-125.42,90.4,0
131,136,14,-,0.1,1.2,0.4,False,-102.66,132,13,-102.66,87.46,0
132,132,13,-,0.1,1.2,0.4,False,-110.92,142,9,-110.92,93.45,0
133,142,9,-,0.1,1.2,0.4,False,-112.63,140,12,-112.63,94.66,0
134,140,12,-,0.1,1.2,0.4,False,-86.0,135,15,-86.0,87.2,0
135,135,15,-,0.1,1.2,0.4,False,-114.37,152,14,-114.37,104.73,0
136,152,14,-,0.1,1.2,0.4,False,-100.55,156,10,-100.55,104.06,0
137,156,10,-,0.1,1.2,0.4,False,-86.81,146,13,-86.81,94.67,0
138,146,13,-,0.1,1.2,0.4,False,-76.78,152,8,-76.78,96.34,0
139,152,8,-,0.1,1.2,0.4,False,-101.97,161,14,-101.97,101.78,0
140,161,14,-,0.1,1.2,0.4,False,-124.43,181,12,-124.43,119.32,0
141,181,12,-,0.1,1.2,0.4,False,-128.21,185,12,-128.21,118.71,0
142,185,12,-,0.1,1.2,0.4,False,-130.4,197,15,-130.4,127.75,0
143,197,15,-,0.1,1.2,0.4,False,-103.05,184,13,-103.05,122.71,0
144,184,13,-,0.1,1.2,0.4,False,-81.65,191,14,-81.65,122.09,0
145,191,14,-,0.1,1.2,0.4,False,-130.79,214,14,-130.79,139.52,0
146,214,14,-,0.1,1.2,0.4,False,-94.17,190,8,-94.17,128.73,0
147,190,8,-,0.1,1.2,0.4,False,-112.32,196,15,-112.32,128.1,0
148,196,15,-,0.1,1.2,0.4,False,-126.59,216,20,-126.59,140.83,0
149,216,20,-,0.1,1.2,0.4,False,-75.41,223,13,-75.41,144.24,0
150,223,13,-,0.1,1.2,0.4,False,-37.51,185,15,-37.51,116.85,0
151,185,15,-,0.1,1.2,0.4,False,-67.66,206,17,-67.66,135.92,0
152,206,17,-,0.1,1.2,0.4,False,-33.34,213,15,-33.34,134.96,0
153,213,15,-,0.1,1.2,0.4,False,-81.13,235,17,-81.13,153.51,0
154,235,17,-,0.1,1.2,0.4,False,-107.02,254,20,-107.02,162.88,0
155,254,20,-,0.1,1.2,0.4,False,-67.92,248,18,-67.92,162.79,0
156,248,18,-,0.1,1.2,0.4,False,-46.14,246,22,-46.14,161.1,0
157,246,22,-,0.1,1.2,0.4,False,-41.96,268,19,-41.96,177.02,0
158,268,19,-,0.1,1.2,0.4,False,-89.76,285,27,-89.76,191.46,0
159,285,27,-,0.1,1.2,0.4,False,-45.57,289,20,-45.57,193.23,0
160,289,20,-,0.1,1.2,0.4,False,-67.17,283,23,-67.17,186.66,0
161,283,23,-,0.1,1.2,0.4,False,-65.64,298,22,-65.64,200.19,0
162,298,22,-,0.1,1.2,0.4,False,-14.2,300,20,-14.2,198.17,0
163,300,20,-,0.1,1.2,0.4,False,-54.08,335,28,-54.08,222.62,0
164,335,28,-,0.1,1.2,0.4,False,-6.5,299,19,-6.5,192.98,0
165,299,19,-,0.1,1.2,0.4,False,-108.86,350,23,-108.86,233.66,0
166,350,23,-,0.1,1.2,0.4,False,-55.2,332,29,-55.2,220.1,0
167,332,29,-,0.1,1.2,0.4,False,-4.92,335,27,-4.92,219.71,0
168,335,27,-,0.1,1.2,0.4,False,24.09,347,26,24.09,225.14,0
169,347,26,-,0.1,1.2,0.4,False,-36.51,364,27,-36.51,243.64,0
170,364,27,-,0.1,1.2,0.4,False,11.14,347,35,11.14,225.21,0
171,347,35,-,0.1,1.2,0.4,False,-50.62,388,34,-50.62,263.46,0
172,388,34,-,0.1,1.2,0.4,False,10.69,372,37,10.69,248.8,0
173,372,37,-,0.1,1.2,0.4,False,1.14,391,34,1.14,263.34,0
174,391,34,-,0.1,1.2,0.4,False,-32.55,422,28,-32.55,286.3,0
175,422,28,-,0.1,1.2,0.4,False,25.0,416,34,25.0,283.93,0
176,416,34,-,0.1,1.2,0.4,False,24.64,442,36,24.64,298.11,0
177,442,36,-,0.1,1.2,0.4,False,41.15,446,44,41.15,298.37,0
178,446,44,-,0.1,1.2,0.4,False,53.77,470,34,53.77,315.18,0
179,470,34,-,0.1,1.2,0.4,False,67.46,463,47,67.46,303.44,0
180,463,47,-,0.1,1.2,0.4,False,49.8,494,42,49.8,327.89,0
181,494,42,-,0.1,1.2,0.4,False,58.06,510,44,58.06,340.25,0
182,510,44,-,0.1,1.2,0.4,False,105.75,522,41,105.75,345.01,0
183,522,41,-,0.1,1.2,0.4,False,58.24,533,49,58.24,356.46,0
184,533,49,-,0.1,1.2,0.4,False,134.71,550,54,134.71,370.57,0
185,550,54,-,0.1,1.2,0.4,False,151.07,561,46,151.07,372.5,0
186,561,46,-,0.1,1.2,0.4,False,151.58,555,44,151.58,376.06,0
187,555,44,-,0.1,1.2,0.4,False,126.44,573,52,126.44,386.66,0
188,573,52,-,0.1,1.2,0.4,False,149.07,581,53,149.07,388.37,0
189,581,53,-,0.1,1.2,0.4,False,172.01,601,49,172.01,398.9,0
190,601,49,-,0.1,1.2,0.4,False,150.88,622,56,150.88,415.28,0
191,622,56,-,0.1,1.2,0.4,False,147.44,648,54,147.44,426.87,0
192,648,54,-,0.1,1.2,0.4,False,166.71,652,57,166.71,436.07,0
193,652,57,-,0.1,1.2,0.4,False,208.96,646,53,208.96,430.88,0
194,646,53,-,0.1,1.2,0.4,False,174.13,673,56,174.13,441.59,0
195,673,56,-,0.1,1.2,0.4,False,186.14,678,59,186.14,447.22,0
196,678,59,-,0.1,1.2,0.4,False,204.04,686,61,204.04,455.35,0
