====================================================================
====================================================================
New simulation started at:    2023-03-10 20:28:00.441198
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost,w_rew,w_mark,rew_normal,mark_normal
106,63,8,0,0.85,2.0,0.4,False,0.12,64,8,306.36,564.27,0,0.8,0.2,0.14106749999999998,0.036,
107,64,8,2,0.85,2.0,0.4,False,0.14,66,6,375.13,677.39,0,0.8,0.2,0.16934749999999998,0.036,
108,66,6,1,0.8,2.0,0.4,False,0.13,67,7,311.92,597.28,0,0.8,0.2,0.14931999999999998,0.037,
109,67,7,2,0.8,2.0,0.4,False,0.13,69,10,315.78,615.96,0,0.8,0.2,0.15399000000000002,0.0395,
110,69,10,1,0.75,2.0,0.4,False,0.12,68,10,269.93,568.35,0,0.8,0.2,0.1420875,0.039,
111,68,10,2,0.75,2.0,0.4,False,0.14,74,8,313.73,641.81,0,0.8,0.2,0.1604525,0.041,
112,74,8,2,0.75,2.0,0.4,False,0.13,79,4,312.37,632.23,0,0.8,0.2,0.15805750000000002,0.0415,
113,79,4,1,0.7,2.0,0.4,False,0.13,73,6,266.94,604.65,0,0.8,0.2,0.1511625,0.0395,
114,73,6,1,0.65,2.0,0.4,False,0.12,78,9,237.55,572.59,0,0.8,0.2,0.1431475,0.0435,
115,78,9,1,0.6,2.0,0.4,False,0.1,67,10,167.43,462.45,0,0.8,0.2,0.11561249999999999,0.0385,
116,67,10,1,0.55,2.0,0.4,False,0.09,73,8,134.46,429.83,0,0.8,0.2,0.1074575,0.0405,
117,73,8,1,0.5,2.0,0.4,False,0.09,73,7,94.14,388.5,0,0.8,0.2,0.097125,0.04,
118,73,7,2,0.5,2.0,0.4,False,0.1,78,7,106.49,434.84,0,0.8,0.2,0.10870999999999999,0.0425,
119,78,7,0,0.55,2.0,0.4,False,0.1,75,5,141.21,457.22,0,0.8,0.2,0.114305,0.04,
120,75,5,1,0.5,2.0,0.4,False,0.1,84,5,107.1,448.09,0,0.8,0.2,0.1120225,0.0445,
121,84,5,0,0.55,2.0,0.4,False,0.12,86,10,168.02,536.2,0,0.8,0.2,0.13405,0.048,
122,86,10,0,0.6,2.0,0.4,False,0.09,62,9,157.32,400.02,0,0.8,0.2,0.100005,0.0355,
123,62,9,0,0.65,2.0,0.4,False,0.12,80,4,246.96,579.76,0,0.8,0.2,0.14493999999999999,0.042,
124,80,4,2,0.65,2.0,0.4,False,0.11,67,5,205.78,498.64,0,0.8,0.2,0.12465999999999999,0.036,
125,67,5,0,0.7,2.0,0.4,False,0.11,67,5,240.64,536.45,0,0.8,0.2,0.13411250000000002,0.036,
126,67,5,1,0.65,2.0,0.4,False,0.09,64,8,180.85,425.79,0,0.8,0.2,0.1064475,0.036,
127,64,8,1,0.6,2.0,0.4,False,0.1,71,7,164.34,450.96,0,0.8,0.2,0.11273999999999999,0.039,
128,71,7,0,0.65,2.0,0.4,False,0.09,61,10,177.91,420.43,0,0.8,0.2,0.1051075,0.0355,
129,61,10,2,0.65,2.0,0.4,False,0.12,81,7,229.45,539.54,0,0.8,0.2,0.13488499999999998,0.044,
130,81,7,1,0.6,2.0,0.4,False,0.1,74,10,170.72,440.26,0,0.8,0.2,0.110065,0.042,
131,74,10,1,0.55,2.0,0.4,False,0.08,64,5,133.75,381.29,0,0.8,0.2,0.0953225,0.0345,
132,64,5,1,0.5,2.0,0.4,False,0.1,84,10,110.71,467.91,0,0.8,0.2,0.11697750000000001,0.047,
133,84,10,2,0.5,2.0,0.4,False,0.07,65,6,86.43,331.0,0,0.8,0.2,0.08275,0.0355,
134,65,6,2,0.5,2.0,0.4,False,0.08,68,6,96.56,353.31,0,0.8,0.2,0.0883275,0.037,
135,68,6,0,0.55,2.0,0.4,False,0.09,69,4,135.25,411.47,0,0.8,0.2,0.1028675,0.0365,
136,69,4,1,0.5,2.0,0.4,False,0.08,72,9,90.85,373.02,0,0.8,0.2,0.09325499999999999,0.0405,
137,72,9,2,0.5,2.0,0.4,False,0.07,63,7,90.21,321.93,0,0.8,0.2,0.0804825,0.035,
138,63,7,1,0.45,2.0,0.4,False,0.08,76,4,79.79,364.03,0,0.8,0.2,0.09100749999999999,0.04,
139,76,4,2,0.45,2.0,0.4,False,0.06,66,4,47.49,280.52,0,0.8,0.2,0.07013,0.035,
140,66,4,1,0.4,2.0,0.4,False,0.09,91,8,17.92,387.94,0,0.8,0.2,0.096985,0.0495,
141,91,8,0,0.45,2.0,0.4,False,0.09,81,6,56.14,405.87,0,0.8,0.2,0.1014675,0.0435,
142,81,6,2,0.45,2.0,0.4,False,0.08,71,4,53.34,352.13,0,0.8,0.2,0.0880325,0.0375,
143,71,4,1,0.4,2.0,0.4,False,0.09,85,6,10.96,406.56,0,0.8,0.2,0.10164,0.0455,
144,85,6,2,0.4,2.0,0.4,False,0.07,77,7,17.57,302.94,0,0.8,0.2,0.075735,0.042,
145,77,7,1,0.35,2.0,0.4,False,0.06,69,6,-19.57,247.34,0,0.8,0.2,0.061835,0.0375,
146,69,6,2,0.35,2.0,0.4,False,0.06,69,7,-16.09,248.85,0,0.8,0.2,0.0622125,0.038,
147,69,7,1,0.3,2.0,0.4,False,0.05,70,6,-44.91,206.13,0,0.8,0.2,0.0515325,0.038,
148,70,6,2,0.3,2.0,0.4,False,0.06,76,8,-59.1,251.84,0,0.8,0.2,0.06296,0.042,
149,76,8,1,0.25,2.0,0.4,False,0.05,71,8,-99.07,199.49,0,0.8,0.2,0.0498725,0.0395,
150,71,8,1,0.2,2.0,0.4,False,0.05,85,8,-161.15,185.35,0,0.8,0.2,0.0463375,0.0465,
151,85,8,0,0.25,2.0,0.4,False,0.05,71,7,-90.25,196.02,0,0.8,0.2,0.049005,0.039,
152,71,7,2,0.25,2.0,0.4,False,0.06,81,6,-120.41,240.72,0,0.8,0.2,0.06018,0.0435,
153,81,6,1,0.2,2.0,0.4,False,0.04,79,6,-149.32,174.49,0,0.8,0.2,0.0436225,0.0425,
154,79,6,1,0.15,2.0,0.4,False,0.03,72,12,-172.42,119.83,0,0.8,0.2,0.029957499999999998,0.042,
155,72,12,0,0.2,2.0,0.4,False,0.04,87,12,-138.26,170.68,0,0.8,0.2,0.04267,0.0495,
156,87,12,2,0.2,2.0,0.4,False,0.04,79,12,-127.09,167.11,0,0.8,0.2,0.0417775,0.0455,
157,79,12,1,0.15,2.0,0.4,False,0.04,95,10,-231.64,158.5,0,0.8,0.2,0.039625,0.0525,
158,95,10,1,0.1,2.0,0.4,False,0.02,68,15,-178.04,72.81,0,0.8,0.2,0.0182025,0.0415,
159,68,15,0,0.15,2.0,0.4,False,0.04,90,8,-196.55,143.72,0,0.8,0.2,0.03593,0.049,
160,90,8,1,0.1,2.0,0.4,False,0.03,86,14,-236.49,92.39,0,0.8,0.2,0.0230975,0.05,
161,86,14,1,0.05,2.0,0.4,False,0.02,78,9,-228.59,40.44,0,0.8,0.2,0.01011,0.0435,
162,78,9,1,0.0,2.0,0.4,False,0.01,95,14,-335.37,0.0,0,0.8,0.2,0.0,0.0545,
163,95,14,1,0.0,2.0,0.4,False,0.01,97,24,-325.01,0.0,0,0.8,0.2,0.0,0.0605,
164,97,24,2,0.0,2.0,0.4,False,0.01,86,14,-323.19,0.0,0,0.8,0.2,0.0,0.05,
165,86,14,1,0.0,2.0,0.4,False,0.01,91,16,-298.91,0.0,0,0.8,0.2,0.0,0.0535,
166,91,16,0,0.05,2.0,0.4,False,0.02,110,11,-328.82,55.87,0,0.8,0.2,0.013967499999999999,0.0605,
167,110,11,1,0.0,2.0,0.4,False,0.01,86,21,-266.84,0.0,0,0.8,0.2,0.0,0.0535,
168,86,21,1,0.0,2.0,0.4,False,0.01,106,17,-373.68,0.0,0,0.8,0.2,0.0,0.0615,
169,106,17,0,0.05,2.0,0.4,False,0.02,109,17,-301.6,55.06,0,0.8,0.2,0.013765000000000001,0.063,
